# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f48b84f2ca0>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.0	0	1080.0		1075.0	1085.0	3665.5	3296.9	4002.9	425560.7	416676.5	433472.3	6383.4	6250.1	6503.6
0.0	50	1063.0		1056.0	1070.0	3643.4	3268.6	3977.7	386641.1	377959.4	395584.4	5800.3	5669.4	5938.0
0.0	100	1024.0		1008.0	1035.0	3261.1	2967.0	3787.7	387586.9	368464.7	407933.0	5813.8	5532.2	6119.0
0.0	150	935.0		893.0	985.0	2902.5	2595.6	3247.8	401940.4	372774.9	446397.9	6029.1	5592.5	6696.0
0.0	200	783.0		701.5	878.8	2214.2	1953.2	2696.5	349378.7	277242.4	397790.6	5243.5	4162.9	5966.9
0.0	250	680.0		569.0	771.8	1699.2	1329.1	2143.0	261382.8	191569.2	322409.2	3920.7	2878.1	4836.1
0.0	300	590.0		486.0	682.5	1215.7	936.9	1538.0	185940.4	132764.7	237943.8	2790.9	1992.3	3573.4
0.0	350	550.5		462.2	643.5	986.7	756.5	1235.9	151019.8	107361.3	208168.0	2265.3	1611.3	3122.5
0.0	400	532.0		465.2	624.8	768.0	590.1	1004.4	125718.6	96849.8	163254.4	1888.1	1456.0	2451.5
0.0	450	552.5		462.5	637.5	659.2	502.0	851.0	120105.2	84287.4	156630.0	1804.7	1264.8	2354.2
0.0	500	587.0		499.2	653.8	565.1	443.5	754.6	118951.6	89484.2	150165.5	1784.3	1343.2	2258.1
0.0	550	598.5		512.2	666.0	486.2	359.5	639.0	113356.4	83419.3	143062.8	1700.3	1253.3	2150.4
0.0	600	624.0		557.2	696.8	457.8	361.0	610.9	113503.5	84701.2	136555.1	1706.7	1272.0	2048.3
0.0	650	663.0		586.0	728.8	437.1	336.1	574.1	114447.9	87365.4	139017.5	1716.9	1311.0	2088.5
0.0	700	697.0		622.2	762.0	391.4	309.7	514.5	115474.5	92449.9	141742.9	1736.6	1391.1	2131.2
0.0	750	718.0		662.0	796.2	370.8	294.6	490.2	114360.3	93968.2	137115.7	1718.7	1409.5	2057.7
0.0	800	763.5		702.5	823.5	337.5	257.0	447.4	112224.3	94141.9	139481.0	1683.4	1416.6	2094.1
0.0	850	787.0		713.0	845.8	311.5	249.5	421.2	111839.2	92416.9	139757.0	1680.4	1386.3	2100.0
0.0	900	805.0		732.2	870.8	310.4	237.4	412.0	113934.9	93541.8	131840.6	1713.6	1403.1	1977.6
0.0	950	830.5		734.8	897.5	278.4	220.1	381.1	111061.2	87047.3	136792.1	1670.8	1311.5	2051.9
