Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	0	1082.0	1079.0	1087.0	3471.9	3189.8	3818.1	425173.0	417860.2	433762.8	3541.7	3480.8	3613.2	3480.8	3613.2	3541.7	0.0	0.0	0.0
0.0	50	1062.0	1055.0	1068.0	3373.3	3055.0	3798.0	384355.6	374678.1	395548.6	3201.7	3121.1	3294.9	3121.1	3294.9	3201.7	0.0	0.0	0.0
0.0	100	1019.0	1001.0	1035.0	2770.7	2501.2	3181.1	407759.6	383856.8	440779.4	3396.8	3198.6	3675.8	3198.6	3675.8	3396.8	0.0	0.0	0.0
0.0	150	962.0	911.0	993.5	2324.0	2059.3	2793.0	420229.6	374849.1	474317.3	3502.5	3123.2	3954.2	3123.2	3954.2	3502.5	0.0	0.0	0.0
0.0	200	850.5	766.0	922.8	1864.4	1561.2	2173.9	351134.5	293735.9	405250.5	2927.4	2448.7	3379.8	2448.7	3379.8	2927.4	0.0	0.0	0.0
0.0	250	742.5	643.8	846.5	1309.2	1071.4	1656.4	254956.5	196789.2	317945.1	2127.0	1641.4	2648.5	1641.4	2648.5	2127.0	0.0	0.0	0.0
0.0	300	713.5	611.0	819.8	1015.8	800.5	1344.3	205795.8	157508.6	264051.0	1714.3	1313.9	2199.5	1313.9	2199.5	1714.3	0.0	0.0	0.0
0.0	350	690.0	594.8	759.5	757.2	614.6	990.8	163146.3	128317.7	201425.5	1359.0	1069.5	1680.8	1069.5	1680.8	1359.0	0.0	0.0	0.0
0.0	400	693.0	613.2	789.8	675.9	514.3	835.6	151226.0	120734.0	187939.8	1261.7	1008.1	1566.1	1008.1	1566.1	1261.7	0.0	0.0	0.0
0.0	450	702.5	633.0	800.5	592.4	433.3	707.6	138896.2	109900.2	181079.7	1160.6	917.0	1508.7	917.0	1508.7	1160.6	0.0	0.0	0.0
0.0	500	756.5	671.0	815.8	500.1	376.8	679.0	140502.5	108496.5	169823.4	1170.4	906.4	1417.0	906.4	1417.0	1170.4	0.0	0.0	0.0
0.0	550	769.0	684.5	847.5	417.7	314.4	577.8	128858.3	101707.7	163117.7	1074.1	847.2	1361.4	847.2	1361.4	1074.1	0.0	0.0	0.0
0.0	600	820.5	728.8	882.5	406.8	305.8	533.6	136603.5	103911.9	168344.2	1140.8	867.0	1402.3	867.0	1402.3	1140.8	0.0	0.0	0.0
0.0	650	841.5	774.0	909.0	377.4	279.4	480.3	128434.3	103676.1	157378.2	1072.7	864.3	1311.8	864.3	1311.8	1072.7	0.0	0.0	0.0
0.0	700	868.5	794.5	932.0	351.8	269.3	472.2	129906.9	106000.1	158841.8	1082.1	883.0	1323.2	883.0	1323.2	1082.1	0.0	0.0	0.0
0.0	750	876.0	806.2	959.8	316.8	232.2	431.4	117800.1	92975.6	153518.8	981.3	774.5	1279.7	774.5	1279.7	981.3	0.0	0.0	0.0
0.0	800	910.0	845.2	975.5	311.5	223.4	418.0	121304.2	98652.7	151491.6	1010.5	823.8	1263.7	823.8	1263.7	1010.5	0.0	0.0	0.0
0.0	850	946.0	867.2	1007.0	290.6	202.9	389.3	122745.5	97827.9	148683.3	1022.5	816.5	1239.7	816.5	1239.7	1022.5	0.0	0.0	0.0
0.0	900	943.0	873.0	1009.8	257.9	197.7	366.1	120914.1	93848.3	148204.2	1009.5	782.8	1235.3	782.8	1235.3	1009.5	0.0	0.0	0.0
0.0	950	979.0	897.8	1043.0	281.0	195.9	386.0	122419.1	97463.9	151491.9	1019.8	813.4	1261.9	813.4	1261.9	1019.8	0.0	0.0	0.0
0.0	1000	999.5	931.2	1052.0	266.3	191.7	357.3	118319.0	92382.8	141276.6	986.6	769.7	1177.7	769.7	1177.7	986.6	0.0	0.0	0.0
0.0	1050	1008.0	927.0	1066.8	246.6	171.8	349.2	115598.3	93328.4	139843.5	962.9	778.6	1165.7	778.6	1165.7	962.9	0.0	0.0	0.0
0.0	1100	1016.0	945.8	1069.8	220.6	155.5	313.1	112968.4	85596.4	140389.2	941.0	713.0	1171.1	713.0	1171.1	941.0	0.0	0.0	0.0
0.0	1150	1024.5	969.5	1079.0	216.5	156.0	312.8	113048.1	92642.1	138333.0	941.7	772.7	1152.3	772.7	1152.3	941.7	0.0	0.0	0.0
0.0	1200	1046.5	979.5	1086.8	203.3	141.0	279.0	109154.8	86057.3	136879.9	911.3	719.2	1141.8	719.2	1141.8	911.3	0.0	0.0	0.0
0.2	0	1094.5	1091.0	1098.0	3682.2	3462.5	4072.2	492406.2	483857.3	502709.3	4101.7	4030.5	4187.6	2801.1	2930.6	2862.2	1193.8	1278.4	1240.2
0.2	50	1078.0	1072.0	1082.0	3515.0	3267.9	3939.8	419428.1	410239.5	428971.3	3493.8	3418.0	3573.3	2495.6	2624.3	2556.8	900.5	974.1	933.3
0.2	100	1046.0	1034.0	1056.0	3033.1	2753.4	3376.6	413524.1	391538.8	437758.0	3444.7	3261.5	3646.5	2536.1	2847.3	2671.8	724.3	824.2	773.0
0.2	150	1006.5	969.2	1027.8	2555.9	2261.5	2981.5	417787.5	383856.2	463844.9	3480.2	3197.5	3866.3	2532.8	3090.3	2748.6	666.0	811.9	738.5
0.2	200	930.5	856.0	986.8	1973.1	1635.0	2443.5	384279.2	327949.8	437129.1	3201.0	2732.7	3641.3	2167.7	2880.4	2521.9	558.6	752.8	659.3
0.2	250	849.5	734.5	920.0	1533.6	1253.0	1785.0	309106.7	247036.3	357305.1	2576.4	2057.8	2976.4	1634.9	2357.5	2044.5	423.3	603.5	516.6
0.2	300	771.5	682.0	860.5	1220.8	953.9	1525.7	244568.9	195334.8	301817.7	2037.7	1629.1	2515.3	1299.7	1998.1	1632.8	321.3	504.2	415.4
0.2	350	718.0	609.0	826.8	931.6	719.7	1191.1	195746.2	140945.2	254765.2	1632.0	1174.1	2122.2	932.9	1695.1	1293.8	235.1	421.8	326.3
