# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7fc55e39ea20>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	1059.0	0.0	0	1059.0	1051.2	1065.0	3919.3	3600.5	4328.3	414360.8	406082.0	424191.5	8287.2	8121.6	8483.8	406082.0	424191.5	414360.8	0.0	0.0	0.0
0.0	1110	1110	0	1035.5	0.0	50	1035.5	1025.0	1045.0	3927.8	3554.1	4388.6	402272.1	389743.2	412492.7	8045.4	7798.6	8249.9	389743.2	412492.7	402272.1	0.0	0.0	0.0
0.0	1110	1110	0	969.0	0.0	100	969.0	943.2	993.0	3643.3	3275.4	4172.2	439645.2	413143.4	466727.2	8792.9	8270.2	9334.5	413143.4	466727.2	439645.2	0.0	0.0	0.0
0.0	1110	1110	0	841.0	0.0	150	841.0	771.5	891.0	2995.6	2636.9	3677.8	427746.5	370609.5	487209.2	8556.9	7418.3	9744.2	370609.5	487209.2	427746.5	0.0	0.0	0.0
0.0	1110	1110	0	663.5	0.0	200	663.5	558.5	754.0	2263.1	1857.8	2684.0	318567.0	236940.9	387694.0	6378.0	4738.8	7755.7	236940.9	387694.0	318567.0	0.0	0.0	0.0
0.0	1110	1110	0	552.5	0.0	250	552.5	464.2	654.8	1628.0	1358.6	2017.7	213766.0	162483.5	284274.8	4280.4	3250.4	5685.5	162483.5	284274.8	213766.0	0.0	0.0	0.0
0.0	1110	1110	0	490.5	0.0	300	490.5	408.2	593.8	1125.3	890.1	1400.4	155447.0	109586.6	210716.8	3112.2	2194.5	4219.7	109586.6	210716.8	155447.0	0.0	0.0	0.0
0.0	1110	1110	0	483.0	0.0	350	483.0	400.2	579.0	954.9	770.8	1241.1	134924.1	95816.3	195363.3	2698.5	1917.7	3908.9	95816.3	195363.3	134924.1	0.0	0.0	0.0
0.0	1110	1110	0	497.0	0.0	400	497.0	423.2	569.8	804.4	604.3	1055.6	122669.5	89107.0	163657.8	2458.3	1787.2	3277.4	89107.0	163657.8	122669.5	0.0	0.0	0.0
0.0	1110	1110	0	503.0	0.0	450	503.0	442.8	573.0	660.3	520.8	870.9	111336.4	86950.7	142108.8	2229.8	1741.7	2846.6	86950.7	142108.8	111336.4	0.0	0.0	0.0
0.0	1110	1110	0	544.0	0.0	500	544.0	480.0	633.5	584.9	447.2	758.2	114310.2	86926.0	147581.6	2286.2	1743.6	2951.6	86926.0	147581.6	114310.2	0.0	0.0	0.0
0.0	1110	1110	0	556.5	0.0	550	556.5	494.2	626.5	495.3	371.3	690.4	109488.2	83101.3	134353.5	2193.2	1663.6	2692.5	83101.3	134353.5	109488.2	0.0	0.0	0.0
0.0	1110	1110	0	596.0	0.0	600	596.0	537.5	669.0	469.6	357.6	599.1	108861.1	87191.8	134090.8	2177.2	1750.5	2684.2	87191.8	134090.8	108861.1	0.0	0.0	0.0
0.0	1110	1110	0	645.5	0.0	650	645.5	585.0	702.0	434.7	330.5	591.3	117012.3	92563.0	137922.2	2341.2	1852.6	2766.9	92563.0	137922.2	117012.3	0.0	0.0	0.0
0.0	1110	1110	0	676.0	0.0	700	676.0	608.5	734.8	378.7	314.4	507.9	113910.2	93572.4	137889.7	2278.2	1871.4	2758.5	93572.4	137889.7	113910.2	0.0	0.0	0.0
0.0	1110	1110	0	712.5	0.0	750	712.5	648.5	757.0	377.0	296.1	503.3	114999.0	95420.7	141245.9	2307.4	1909.3	2832.2	95420.7	141245.9	114999.0	0.0	0.0	0.0
0.0	1110	1110	0	733.0	0.0	800	733.0	661.2	808.0	352.4	275.8	472.0	114608.2	91255.0	142414.2	2292.2	1828.7	2848.3	91255.0	142414.2	114608.2	0.0	0.0	0.0
0.0	1110	1110	0	785.5	0.0	850	785.5	701.8	853.8	359.0	272.9	472.1	121954.3	94154.5	151744.7	2448.5	1883.1	3041.8	94154.5	151744.7	121954.3	0.0	0.0	0.0
