	Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B	Med_KE_A_singlenorm	Med_KE_B_singlenorm	Med_KE_A_doublenorm	Med_KE_B_doublenorm	Med_AUDPC_A_single	Med_AUDPC_B_single	Med_AUDPC_A_double	Med_AUDPC_B_double	KE_ratio_single	KE_ratio_unnorm
0	0.0	1110	1110	0	1059.0	0.0	0	1059.0	1051.2	1065.0	3919.3	3600.5	4328.3	414360.8	406082.0	424191.5	8287.2	8121.6	8483.8	406082.0	424191.5	414360.8	0.0	0.0	0.0	0.9540540540540541		47.7027027027027		373.298018018018		18664.900900900902			inf
1	0.0	1110	1110	0	1035.5	0.0	50	1035.5	1025.0	1045.0	3927.8	3554.1	4388.6	402272.1	389743.2	412492.7	8045.4	7798.6	8249.9	389743.2	412492.7	402272.1	0.0	0.0	0.0	0.9328828828828829		46.64414414414414		362.40729729729725		18120.364864864863			inf
2	0.0	1110	1110	0	969.0	0.0	100	969.0	943.2	993.0	3643.3	3275.4	4172.2	439645.2	413143.4	466727.2	8792.9	8270.2	9334.5	413143.4	466727.2	439645.2	0.0	0.0	0.0	0.8729729729729729		43.648648648648646		396.07675675675677		19803.83783783784			inf
3	0.0	1110	1110	0	841.0	0.0	150	841.0	771.5	891.0	2995.6	2636.9	3677.8	427746.5	370609.5	487209.2	8556.9	7418.3	9744.2	370609.5	487209.2	427746.5	0.0	0.0	0.0	0.7576576576576577		37.88288288288288		385.3572072072072		19267.860360360362			inf
4	0.0	1110	1110	0	663.5	0.0	200	663.5	558.5	754.0	2263.1	1857.8	2684.0	318567.0	236940.9	387694.0	6378.0	4738.8	7755.7	236940.9	387694.0	318567.0	0.0	0.0	0.0	0.5977477477477477		29.88738738738739		286.9972972972973		14349.864864864865			inf
5	0.0	1110	1110	0	552.5	0.0	250	552.5	464.2	654.8	1628.0	1358.6	2017.7	213766.0	162483.5	284274.8	4280.4	3250.4	5685.5	162483.5	284274.8	213766.0	0.0	0.0	0.0	0.49774774774774777		24.88738738738739		192.58198198198198		9629.0990990991			inf
6	0.0	1110	1110	0	490.5	0.0	300	490.5	408.2	593.8	1125.3	890.1	1400.4	155447.0	109586.6	210716.8	3112.2	2194.5	4219.7	109586.6	210716.8	155447.0	0.0	0.0	0.0	0.4418918918918919		22.094594594594593		140.04234234234235		7002.117117117117			inf
7	0.0	1110	1110	0	483.0	0.0	350	483.0	400.2	579.0	954.9	770.8	1241.1	134924.1	95816.3	195363.3	2698.5	1917.7	3908.9	95816.3	195363.3	134924.1	0.0	0.0	0.0	0.43513513513513513		21.756756756756754		121.55324324324324		6077.6621621621625			inf
8	0.0	1110	1110	0	497.0	0.0	400	497.0	423.2	569.8	804.4	604.3	1055.6	122669.5	89107.0	163657.8	2458.3	1787.2	3277.4	89107.0	163657.8	122669.5	0.0	0.0	0.0	0.4477477477477477		22.387387387387385		110.51306306306306		5525.653153153154			inf
9	0.0	1110	1110	0	503.0	0.0	450	503.0	442.8	573.0	660.3	520.8	870.9	111336.4	86950.7	142108.8	2229.8	1741.7	2846.6	86950.7	142108.8	111336.4	0.0	0.0	0.0	0.45315315315315313		22.657657657657655		100.30306306306306		5015.153153153153			inf
