# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f8efa4be840>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	1061.0	0.0	0	1061.0	1054.0	1068.0	3934.2	3585.6	4335.6	415274.7	405860.0	424516.3	8305.5	8120.3	8490.3	405860.0	424516.3	415274.7	0.0	0.0	0.0
0.0	1110	1110	0	1037.0	0.0	50	1037.0	1028.0	1048.0	3802.5	3523.7	4110.8	396629.4	387062.5	408885.0	7932.6	7741.3	8177.7	387062.5	408885.0	396629.4	0.0	0.0	0.0
0.0	1110	1110	0	973.5	0.0	100	973.5	938.0	994.8	3577.9	3166.6	4001.1	429518.6	402983.3	459908.4	8590.4	8061.5	9198.2	402983.3	459908.4	429518.6	0.0	0.0	0.0
0.0	1110	1110	0	858.5	0.0	150	858.5	787.2	911.5	3131.9	2659.6	3633.3	428010.9	369539.0	502958.9	8560.5	7390.8	10059.2	369539.0	502958.9	428010.9	0.0	0.0	0.0
0.0	1110	1110	0	685.0	0.0	200	685.0	581.8	768.5	2247.5	1843.0	2670.4	326296.2	255109.7	395202.5	6525.9	5102.2	7905.8	255109.7	395202.5	326296.2	0.0	0.0	0.0
0.0	1110	1110	0	549.5	0.0	250	549.5	458.0	642.0	1615.3	1249.0	1923.2	213690.9	149559.5	289784.3	4273.8	2993.0	5795.7	149559.5	289784.3	213690.9	0.0	0.0	0.0
0.0	1110	1110	0	520.0	0.0	300	520.0	404.2	606.0	1215.9	1001.9	1571.3	172940.8	115478.8	230823.2	3458.8	2313.4	4616.5	115478.8	230823.2	172940.8	0.0	0.0	0.0
0.0	1110	1110	0	496.0	0.0	350	496.0	415.8	585.5	922.8	698.3	1239.7	134608.5	98649.1	188449.2	2697.5	1976.0	3775.4	98649.1	188449.2	134608.5	0.0	0.0	0.0
0.0	1110	1110	0	489.0	0.0	400	489.0	414.8	579.8	739.7	550.3	1014.2	117301.0	88324.6	160802.4	2351.3	1768.0	3216.9	88324.6	160802.4	117301.0	0.0	0.0	0.0
0.0	1110	1110	0	522.0	0.0	450	522.0	465.2	595.0	660.2	518.9	852.9	118783.4	86736.6	154190.6	2375.7	1734.7	3087.1	86736.6	154190.6	118783.4	0.0	0.0	0.0
0.0	1110	1110	0	537.5	0.0	500	537.5	481.0	607.8	589.7	454.9	761.1	112715.0	84537.4	143945.1	2257.8	1692.5	2884.0	84537.4	143945.1	112715.0	0.0	0.0	0.0
