# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function cauchy_thick at 0x7f8e8ad06b60>; Scale Parameter = 84.5m ; Sps Parameters = [[0.00785    0.14       0.00333333 0.00053   ]
 [0.00785    0.14       0.00333333 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.0	0	1042.0		1035.0	1050.0	3292.3	3054.8	3647.9	357054.5	348212.9	364832.1	2802.9	2733.5	2863.9
0.0	50	1020.0		1011.0	1030.0	3227.8	2958.9	3611.7	360155.1	351476.1	369061.9	2827.2	2759.8	2897.4
0.0	100	984.0		971.0	999.0	2897.0	2676.7	3292.2	411846.8	393780.4	432838.8	3233.0	3091.2	3397.8
0.0	150	953.5		929.2	973.8	2511.2	2193.5	2915.4	446759.1	414737.2	486138.5	3507.1	3255.7	3816.2
0.0	200	936.0		901.0	966.8	2150.6	1881.7	2511.8	443889.6	409342.5	486012.2	3485.4	3213.3	3815.2
0.0	250	915.0		867.2	951.0	1857.7	1619.2	2129.8	412328.5	371055.5	467495.1	3236.8	2914.7	3669.8
0.0	300	896.5		830.5	941.8	1551.1	1297.2	1883.5	373803.5	326041.7	425282.9	2937.5	2560.1	3339.4
0.0	350	883.5		801.2	933.5	1368.8	1120.9	1614.4	329427.2	276958.2	380161.8	2587.4	2174.1	2984.3
0.0	400	858.5		752.8	920.0	1084.4	875.5	1397.9	289091.6	230026.9	342013.1	2269.4	1808.5	2684.8
0.0	450	856.0		773.2	926.0	1012.3	797.3	1300.6	265369.8	216689.0	316275.5	2083.2	1701.0	2482.8
0.0	500	870.0		772.2	934.2	906.1	709.0	1122.5	246027.2	196990.9	293542.5	1931.3	1547.5	2305.0
0.0	550	869.5		770.5	928.0	798.8	629.8	1045.8	224948.2	175157.8	271147.2	1768.2	1377.3	2128.5
0.0	600	882.5		790.2	959.8	719.7	563.6	920.1	209969.0	166994.2	262677.2	1648.3	1310.9	2062.0
0.0	650	870.5		789.5	946.0	617.1	470.8	825.6	194592.3	148577.3	225386.1	1527.5	1169.2	1769.3
0.0	700	913.5		819.0	966.8	616.7	449.1	808.6	188914.4	153007.4	227745.8	1483.0	1201.1	1787.8
0.0	750	912.0		837.2	979.0	575.6	420.7	748.2	174600.6	141880.3	219854.6	1370.6	1113.8	1725.9
