Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	849.0	0.0	0	849.0	669.2	882.0	3321.6	3042.5	3724.2	328767.0	266003.3	346634.5	821.9	665.2	866.6	266003.3	346634.5	328767.0	0.0	0.0	0.0
0.0	1110	1110	0	711.5	0.0	50	711.5	571.8	755.0	2611.9	2256.2	3062.9	251046.4	202957.8	294879.8	627.8	508.0	737.2	202957.8	294879.8	251046.4	0.0	0.0	0.0
0.0	1110	1110	0	636.5	0.0	100	636.5	534.2	710.8	1593.2	1300.8	1986.1	186732.4	146331.4	227791.4	466.8	365.8	569.5	146331.4	227791.4	186732.4	0.0	0.0	0.0
0.0	1110	1110	0	602.0	0.0	150	602.0	533.0	711.0	1125.6	872.0	1469.3	135496.6	101184.0	179614.7	338.7	253.6	449.0	101184.0	179614.7	135496.6	0.0	0.0	0.0
0.0	1110	1110	0	655.0	0.0	200	655.0	556.0	735.8	856.3	610.4	1162.8	116949.1	89455.4	145910.8	292.6	223.6	364.8	89455.4	145910.8	116949.1	0.0	0.0	0.0
0.0	1110	1110	0	701.0	0.0	250	701.0	609.5	782.0	769.2	571.8	1073.7	114673.8	84324.3	143818.7	286.7	210.8	359.7	84324.3	143818.7	114673.8	0.0	0.0	0.0
0.0	1110	1110	0	772.0	0.0	300	772.0	640.2	825.0	578.1	426.1	811.4	109736.0	87670.5	138987.2	274.3	219.3	347.5	87670.5	138987.2	109736.0	0.0	0.0	0.0
0.0	1110	1110	0	809.5	0.0	350	809.5	672.2	860.0	596.1	378.6	832.2	111795.2	88308.3	136449.1	279.9	221.0	342.4	88308.3	136449.1	111795.2	0.0	0.0	0.0
0.0	1110	1110	0	814.5	0.0	400	814.5	697.2	882.0	492.9	330.8	743.2	111056.0	83894.6	137366.4	277.6	210.1	343.4	83894.6	137366.4	111056.0	0.0	0.0	0.0
0.0	1110	1110	0	865.5	0.0	450	865.5	741.8	913.0	470.0	275.5	694.9	115129.2	91475.5	145225.3	287.8	229.8	363.3	91475.5	145225.3	115129.2	0.0	0.0	0.0
0.0	1110	1110	0	883.0	0.0	500	883.0	743.2	933.0	429.5	257.3	691.9	109582.4	86416.4	135427.6	274.0	216.0	338.6	86416.4	135427.6	109582.4	0.0	0.0	0.0
0.0	1110	1110	0	909.5	0.0	550	909.5	768.0	952.0	405.2	227.7	645.0	109691.3	85722.5	138970.8	274.2	214.3	347.4	85722.5	138970.8	109691.3	0.0	0.0	0.0
0.0	1110	1110	0	919.0	0.0	600	919.0	799.8	962.8	365.5	232.0	626.4	110882.9	87613.9	142165.8	277.2	219.0	355.4	87613.9	142165.8	110882.9	0.0	0.0	0.0
0.0	1110	1110	0	944.5	0.0	650	944.5	814.2	979.0	346.6	233.7	626.3	115104.5	86561.8	141336.5	287.8	216.6	353.3	86561.8	141336.5	115104.5	0.0	0.0	0.0
0.0	1110	1110	0	967.5	0.0	700	967.5	881.5	995.0	332.8	212.7	539.7	113689.4	90753.6	136798.3	284.2	226.9	342.0	90753.6	136798.3	113689.4	0.0	0.0	0.0
0.0	1110	1110	0	970.5	0.0	750	970.5	901.5	1004.2	329.1	198.9	530.2	111970.2	85000.7	142566.9	279.9	212.5	356.4	85000.7	142566.9	111970.2	0.0	0.0	0.0
0.0	1110	1110	0	985.0	0.0	800	985.0	894.0	1016.8	294.5	180.1	496.1	111211.6	85494.0	141271.7	278.0	213.7	353.2	85494.0	141271.7	111211.6	0.0	0.0	0.0
0.0	1110	1110	0	997.5	0.0	850	997.5	941.5	1025.8	299.8	184.6	522.4	112878.9	85783.5	148347.0	283.1	214.6	370.9	85783.5	148347.0	112878.9	0.0	0.0	0.0
0.0	1110	1110	0	1002.0	0.0	900	1002.0	944.5	1038.5	261.0	159.6	441.4	107093.0	87586.7	139823.3	267.7	219.0	349.6	87586.7	139823.3	107093.0	0.0	0.0	0.0
0.0	1110	1110	0	1019.0	0.0	950	1019.0	975.8	1047.8	284.5	166.9	544.8	111607.2	86107.5	139422.9	279.0	215.3	348.6	86107.5	139422.9	111607.2	0.0	0.0	0.0
0.0	1110	1110	0	1024.0	0.0	1000	1024.0	972.2	1051.8	259.9	158.2	451.0	113010.6	82793.6	137640.0	283.4	207.9	344.1	82793.6	137640.0	113010.6	0.0	0.0	0.0
0.0	1110	1110	0	1031.0	0.0	1050	1031.0	980.2	1056.0	231.0	156.2	409.6	109954.8	84112.7	138418.6	274.9	210.3	346.0	84112.7	138418.6	109954.8	0.0	0.0	0.0
0.0	1110	1110	0	1041.0	0.0	1100	1041.0	1006.5	1063.8	243.1	146.3	416.2	112486.6	84781.6	137418.7	281.2	212.0	343.5	84781.6	137418.7	112486.6	0.0	0.0	0.0
0.0	1110	1110	0	1038.5	0.0	1150	1038.5	994.2	1066.8	230.1	139.6	408.9	105305.5	80009.7	136978.1	263.3	200.0	342.4	80009.7	136978.1	105305.5	0.0	0.0	0.0
0.0	1110	1110	0	1043.0	0.0	1200	1043.0	999.0	1072.8	223.4	138.8	375.7	109964.4	85257.1	135256.2	274.9	213.1	338.1	85257.1	135256.2	109964.4	0.0	0.0	0.0
0.2	1110	888	222	671.5	84.0	0	745.0	614.0	790.2	4816.3	4248.8	5622.0	305243.9	263979.5	334777.8	763.6	660.7	837.8	211403.2	275010.0	257691.5	42768.4	69662.2	56831.5
0.2	1110	888	222	502.0	43.0	50	547.5	470.0	626.8	3349.0	2811.8	3992.7	255789.3	204924.2	313374.0	639.5	512.5	784.2	169751.3	264028.5	216482.6	21888.2	62890.8	35769.5
0.2	1110	888	222	464.0	40.0	100	501.5	428.2	578.0	2006.9	1549.9	2633.7	176379.5	135160.5	236540.1	441.5	338.5	591.5	115939.3	200130.6	149128.4	10071.5	40994.5	23391.5
0.2	1110	888	222	470.5	46.0	150	510.5	433.5	585.0	1403.0	1117.8	1899.5	145628.5	105119.5	186148.0	364.8	263.4	466.1	88577.4	155148.1	117051.5	9729.0	40169.2	24638.0
0.2	1110	888	222	496.0	48.0	200	550.0	471.2	618.0	1069.5	797.0	1347.9	117721.1	93678.1	168176.7	294.9	234.2	420.5	72031.8	133105.6	94393.3	9681.2	36440.0	21318.5
0.2	1110	888	222	527.5	59.0	250	585.0	516.0	653.0	944.9	690.7	1275.7	114202.4	86341.8	147874.7	285.9	216.1	370.0	65763.7	119168.3	90424.6	10009.0	37804.2	23190.5
0.2	1110	888	222	555.5	63.0	300	631.0	558.5	699.0	842.6	629.3	1166.4	121890.3	94047.8	153299.5	305.2	235.9	383.9	71064.1	120232.5	96363.0	12257.0	37662.9	23761.0
0.2	1110	888	222	590.0	71.5	350	673.0	595.2	749.0	798.7	549.9	1141.0	122515.6	99398.8	153656.0	306.3	248.7	385.0	72759.7	122298.5	95328.7	12783.8	41552.8	26004.3
0.2	1110	888	222	655.0	70.5	400	721.0	620.2	786.0	755.5	508.4	1083.3	129031.9	102140.8	162309.3	323.2	255.9	406.2	74465.6	129856.4	101397.3	13153.3	39183.0	26122.9
0.2	1110	888	222	630.5	84.5	450	722.5	643.5	793.8	702.1	492.2	1000.4	121082.8	89669.9	149145.9	302.7	224.3	372.9	67829.4	116290.5	93728.1	14224.0	39805.5	25569.4
0.2	1110	888	222	678.0	95.0	500	771.0	661.5	844.0	761.8	469.4	992.6	130273.1	98488.1	171901.2	325.7	246.4	430.7	76416.0	132212.2	99316.7	15084.1	45696.0	28373.9
0.2	1110	888	222	710.0	97.5	550	795.5	709.2	853.8	661.3	421.3	925.1	126712.5	98990.4	168671.4	317.2	247.9	421.7	76361.6	129309.0	100228.0	15498.2	40769.1	27147.4
0.2	1110	888	222	705.5	108.0	600	806.5	713.0	875.5	644.8	403.2	922.2	128720.3	101008.1	164585.0	321.8	253.4	412.1	76440.4	123914.7	97045.0	14897.5	45882.7	29043.1
0.2	1110	888	222	749.5	109.0	650	831.0	734.2	903.8	575.6	410.4	850.2	133970.6	102805.5	165708.2	334.9	257.1	414.8	78260.8	129390.5	99813.0	13936.4	44775.5	26797.2
0.2	1110	888	222	768.5	124.0	700	862.5	772.0	925.8	582.6	369.8	861.9	136293.1	104566.7	178848.2	341.4	261.7	447.1	81198.7	131557.5	106594.0	16517.0	45236.7	30002.7
0.2	1110	888	222	780.0	127.5	750	878.0	801.0	936.0	578.5	335.4	862.0	132197.8	102809.0	181061.2	330.8	257.0	453.4	78581.4	133182.8	103997.5	16358.1	45885.2	29994.8
0.2	1110	888	222	791.0	137.0	800	901.5	809.2	961.0	551.2	331.6	794.8	139671.3	109149.9	177614.7	349.6	272.9	444.9	83894.0	137370.3	105047.9	16916.5	44101.5	29804.6
0.2	1110	888	222	787.0	147.5	850	907.5	821.2	968.0	497.7	300.1	799.9	136590.5	97244.6	168608.5	342.1	243.1	421.5	74958.6	130380.7	102213.5	16474.5	42364.1	27995.7
0.2	1110	888	222	797.0	149.0	900	927.0	839.2	977.8	481.8	278.4	719.7	132353.7	101722.7	164873.4	331.2	254.3	412.2	77286.5	130318.3	103818.9	17002.1	39810.2	27411.7
0.2	1110	888	222	813.0	158.0	950	948.5	862.0	998.8	442.5	250.8	722.1	127486.4	94487.5	161381.4	318.7	236.5	403.5	73369.3	128407.6	100172.1	16810.3	37175.6	23931.0
0.2	1110	888	222	821.0	170.5	1000	985.5	879.5	1023.0	443.2	265.7	687.5	137674.1	105306.0	168454.6	345.1	263.3	421.3	81434.3	129989.8	102999.1	18317.1	40390.0	27453.9
0.2	1110	888	222	821.0	169.0	1050	978.0	904.0	1023.0	397.3	253.5	655.2	125784.0	96260.7	169505.6	314.5	240.7	423.8	74958.0	129557.5	101704.8	17640.5	39512.9	26035.5
0.2	1110	888	222	826.0	175.0	1100	998.5	913.2	1035.0	395.5	227.2	644.2	127965.7	97730.3	165207.9	319.9	244.3	413.0	76518.2	129740.3	97618.4	17855.1	41049.2	26847.0
0.2	1110	888	222	834.5	180.5	1150	1016.5	937.5	1045.8	394.5	223.2	651.7	134263.4	101714.6	181359.7	335.7	254.3	453.4	77496.4	136047.2	102651.3	18875.9	41187.2	27698.3
0.2	1110	888	222	840.0	178.5	1200	1012.5	924.5	1047.0	370.3	211.8	617.4	132123.6	97518.0	176537.6	330.3	243.8	441.3	75578.4	137309.3	99108.9	17815.3	39138.1	26244.3
0.4	1110	666	444	387.5	268.0	0	698.0	601.8	771.8	4952.2	4354.7	5637.4	354193.0	303302.2	395746.3	886.4	759.0	989.4	138711.8	184968.6	154621.4	160784.2	230405.2	187587.5
0.4	1110	666	444	315.5	228.5	50	546.5	463.2	612.0	4077.0	3423.2	4815.4	339220.1	263720.8	416475.9	848.4	659.9	1041.2	131486.6	233726.6	169541.7	124520.0	200057.6	163860.6
0.4	1110	666	444	284.5	196.5	100	481.0	384.2	558.2	2620.2	2127.1	3161.9	250190.0	182344.9	320963.2	626.0	455.9	802.6	84402.1	160431.4	114455.5	80512.0	168089.9	123054.5
0.4	1110	666	444	300.5	181.5	150	473.0	391.5	546.8	1798.0	1309.1	2356.7	174618.6	132218.4	233219.5	436.7	330.7	583.3	59003.0	120955.7	83598.0	59908.0	123073.4	84103.8
0.4	1110	666	444	324.5	200.5	200	516.5	430.0	592.8	1337.5	1058.6	1842.9	160423.4	118779.7	222360.6	401.1	296.9	555.9	54642.0	111887.5	82676.0	48945.2	107493.1	79508.6
0.4	1110	666	444	345.5	195.5	250	535.5	454.5	608.8	1175.6	900.3	1605.0	154874.8	106628.3	193538.3	387.5	266.6	484.0	51007.9	104716.2	72288.3	44850.1	104046.4	73242.5
0.4	1110	666	444	372.0	208.0	300	570.5	502.0	662.0	1018.2	716.0	1363.0	148669.0	114193.2	196823.8	372.3	285.5	492.2	54950.5	101735.5	74186.2	49490.2	99075.1	71073.9
0.4	1110	666	444	392.5	224.0	350	617.0	548.8	690.8	928.7	642.7	1271.2	146657.4	117247.4	188712.2	367.0	293.5	471.8	56511.4	98634.2	77882.7	47857.2	100593.3	68345.4
0.4	1110	666	444	411.0	250.0	400	655.5	583.0	721.5	825.5	589.6	1177.4	157281.5	113193.1	195844.2	393.6	283.3	489.6	52777.5	102895.5	75569.4	47726.5	100451.4	72311.0
0.4	1110	666	444	435.0	241.5	450	678.5	595.5	760.8	714.4	525.1	987.8	157015.8	115000.1	202936.5	392.5	287.5	507.9	59429.8	108697.3	85035.9	47056.5	99524.5	69063.0
0.4	1110	666	444	444.0	268.5	500	704.5	638.5	781.8	712.3	540.8	993.3	157411.7	121086.7	206774.3	393.9	302.7	517.6	58406.6	111947.6	79716.9	46943.8	99118.1	73247.5
0.4	1110	666	444	471.0	274.5	550	752.0	673.5	827.8	680.3	485.9	946.7	163504.4	125820.0	206001.6	408.8	314.7	515.0	58220.4	107891.6	81965.7	51366.2	102466.7	79434.9
0.4	1110	666	444	464.0	283.0	600	746.0	672.2	814.8	654.7	467.3	964.6	157005.7	119861.9	202872.6	392.7	299.7	507.5	56165.2	107969.5	81093.0	48102.8	105023.7	71329.3
0.4	1110	666	444	492.5	296.0	650	790.5	713.2	865.8	669.9	435.9	880.0	166578.6	123171.6	210226.3	416.4	307.9	525.6	62321.1	114081.2	87091.7	52384.7	106342.7	76262.0
0.4	1110	666	444	498.5	306.0	700	814.0	720.0	883.0	599.4	419.9	884.7	159775.7	125617.3	207432.9	399.4	314.0	519.5	62630.8	111042.1	83788.9	50089.5	105332.5	74404.6
0.4	1110	666	444	508.0	310.5	750	828.5	751.5	905.0	624.7	449.3	885.1	166198.5	125713.3	220244.8	415.5	314.3	550.6	62627.6	117945.6	87777.2	50150.9	109301.4	73614.2
0.4	1110	666	444	537.0	307.0	800	862.0	779.2	917.8	576.4	406.3	823.5	169105.0	128887.3	216807.7	423.1	322.2	542.0	68761.0	119493.8	92045.7	53346.9	102827.9	72823.9
0.4	1110	666	444	530.0	327.5	850	873.5	784.0	939.8	553.5	364.5	873.9	155263.8	118405.7	212380.6	388.2	296.5	531.3	61761.3	113205.8	80847.3	47967.8	99066.0	73089.4
0.4	1110	666	444	543.0	336.0	900	895.0	811.0	947.0	538.4	367.2	820.0	166483.0	126409.0	214225.8	416.2	316.8	535.6	65345.1	113136.9	84636.6	53241.9	102853.4	74728.3
0.4	1110	666	444	572.0	329.0	950	902.0	815.2	958.0	543.4	337.5	755.3	166676.9	125140.6	208555.1	416.7	313.1	521.4	66657.9	115087.3	87054.6	45733.8	100932.4	71652.0
0.4	1110	666	444	555.0	342.5	1000	904.5	816.2	966.8	493.0	342.9	716.0	158456.8	116223.9	213881.5	396.1	291.1	535.0	59313.2	113413.8	82616.8	46582.3	102403.8	68477.9
0.4	1110	666	444	593.5	371.0	1050	936.0	856.2	1005.8	471.1	289.2	663.8	155823.7	119727.3	210045.0	389.6	299.6	525.1	63162.9	113714.1	85069.8	45082.5	100963.1	70422.7
0.4	1110	666	444	603.0	364.0	1100	944.0	850.2	1011.8	445.1	302.6	715.3	157925.9	118047.9	197225.7	394.9	295.1	493.1	61954.9	114484.0	85425.1	42238.2	93153.0	64636.3
0.4	1110	666	444	584.0	376.0	1150	937.5	860.5	1000.5	412.4	284.2	572.3	149614.0	107758.9	192933.6	374.0	269.4	482.3	56869.0	104148.0	80297.8	43083.1	91444.8	65164.0
0.4	1110	666	444	602.0	389.5	1200	948.5	881.2	1011.8	454.9	273.0	700.3	150458.5	106211.4	192980.9	377.0	265.9	482.5	58910.5	107154.6	80429.6	42128.9	86277.8	63957.8
