Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	851.5	0.0	0	851.5	669.0	883.5	3308.9	2994.5	3663.0	328151.6	262775.5	346217.1	820.4	656.9	865.5	262775.5	346217.1	328151.6	0.0	0.0	0.0
0.0	1110	1110	0	712.0	0.0	50	712.0	589.5	757.0	2714.9	2301.8	3178.1	256559.0	203097.6	301890.5	641.4	507.7	754.7	203097.6	301890.5	256559.0	0.0	0.0	0.0
0.0	1110	1110	0	650.0	0.0	100	650.0	542.2	727.0	1649.3	1250.9	2033.1	193431.0	145000.4	233617.5	483.6	362.5	584.0	145000.4	233617.5	193431.0	0.0	0.0	0.0
0.0	1110	1110	0	611.5	0.0	150	611.5	539.2	700.2	1112.3	847.2	1447.4	135068.6	98704.3	175442.5	337.7	246.9	438.6	98704.3	175442.5	135068.6	0.0	0.0	0.0
0.0	1110	1110	0	675.0	0.0	200	675.0	554.5	747.8	838.2	615.6	1118.2	122372.9	91814.2	152588.6	306.5	229.5	381.5	91814.2	152588.6	122372.9	0.0	0.0	0.0
0.0	1110	1110	0	721.0	0.0	250	721.0	617.2	786.8	729.4	525.2	1081.0	113737.0	84786.6	140457.0	284.3	212.2	351.2	84786.6	140457.0	113737.0	0.0	0.0	0.0
0.0	1110	1110	0	740.0	0.0	300	740.0	639.5	817.0	622.9	421.4	904.7	109004.3	85051.3	134522.3	273.3	213.0	336.3	85051.3	134522.3	109004.3	0.0	0.0	0.0
0.0	1110	1110	0	786.5	0.0	350	786.5	669.8	853.0	571.8	351.0	862.9	109047.1	85346.1	133910.8	272.6	213.4	334.8	85346.1	133910.8	109047.1	0.0	0.0	0.0
0.0	1110	1110	0	805.0	0.0	400	805.0	690.2	877.8	518.0	329.6	737.0	105923.0	80773.7	134158.3	264.8	202.4	335.4	80773.7	134158.3	105923.0	0.0	0.0	0.0
0.0	1110	1110	0	870.0	0.0	450	870.0	743.0	910.8	431.6	281.3	656.1	111466.9	87156.1	135531.0	278.7	217.9	338.8	87156.1	135531.0	111466.9	0.0	0.0	0.0
