Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	858.0	0.0	0	858.0	754.2	885.0	3396.8	3066.3	3849.9	332799.0	285892.9	347773.6	832.0	714.7	869.4	285892.9	347773.6	332799.0	0.0	0.0	0.0
0.0	1110	1110	0	722.0	0.0	50	722.0	576.0	764.0	2646.8	2212.7	3205.4	253483.5	207513.8	300739.1	633.7	518.8	752.3	207513.8	300739.1	253483.5	0.0	0.0	0.0
0.0	1110	1110	0	629.5	0.0	100	629.5	533.5	715.5	1613.0	1323.1	2022.5	182485.8	140065.2	231715.6	456.2	350.7	579.3	140065.2	231715.6	182485.8	0.0	0.0	0.0
0.0	1110	1110	0	636.5	0.0	150	636.5	544.0	711.0	1125.8	867.1	1468.6	137279.5	104566.0	171873.2	343.2	261.4	429.7	104566.0	171873.2	137279.5	0.0	0.0	0.0
0.0	1110	1110	0	672.0	0.0	200	672.0	564.0	750.0	866.9	623.8	1177.3	117863.0	90023.8	152146.4	294.9	225.6	380.4	90023.8	152146.4	117863.0	0.0	0.0	0.0
0.0	1110	1110	0	724.5	0.0	250	724.5	599.0	786.8	691.5	500.4	938.2	112530.2	87126.0	142506.7	281.8	218.3	356.3	87126.0	142506.7	112530.2	0.0	0.0	0.0
0.0	1110	1110	0	757.0	0.0	300	757.0	645.5	824.0	613.7	424.7	895.4	111479.8	86502.0	142050.9	278.7	216.3	355.1	86502.0	142050.9	111479.8	0.0	0.0	0.0
0.0	1110	1110	0	809.5	0.0	350	809.5	676.0	858.8	556.2	375.6	827.5	107952.0	85737.1	137933.5	269.9	214.3	344.8	85737.1	137933.5	107952.0	0.0	0.0	0.0
0.0	1110	1110	0	838.5	0.0	400	838.5	694.2	884.8	539.0	327.9	723.9	109589.9	88425.7	138140.5	274.0	221.1	345.4	88425.7	138140.5	109589.9	0.0	0.0	0.0
0.0	1110	1110	0	845.5	0.0	450	845.5	720.2	906.0	449.5	282.4	700.2	108635.7	82254.8	134490.0	271.6	205.7	336.2	82254.8	134490.0	108635.7	0.0	0.0	0.0
0.0	1110	1110	0	883.5	0.0	500	883.5	754.2	929.5	409.3	242.6	614.8	108267.2	85159.4	132401.3	270.7	213.3	331.0	85159.4	132401.3	108267.2	0.0	0.0	0.0
0.0	1110	1110	0	904.5	0.0	550	904.5	765.2	950.0	378.0	250.3	576.5	114746.5	87285.0	139850.4	286.9	218.2	349.6	87285.0	139850.4	114746.5	0.0	0.0	0.0
0.0	1110	1110	0	930.0	0.0	600	930.0	787.5	963.8	367.8	231.3	602.0	112800.6	86697.4	141780.2	282.0	216.7	354.5	86697.4	141780.2	112800.6	0.0	0.0	0.0
0.0	1110	1110	0	940.0	0.0	650	940.0	804.0	980.0	360.7	193.9	657.8	111416.5	85753.6	135463.1	278.5	214.5	338.7	85753.6	135463.1	111416.5	0.0	0.0	0.0
0.0	1110	1110	0	964.5	0.0	700	964.5	900.0	996.0	294.7	192.0	556.1	110472.5	83702.4	143197.9	276.2	209.3	358.0	83702.4	143197.9	110472.5	0.0	0.0	0.0
0.0	1110	1110	0	975.0	0.0	750	975.0	908.2	1006.8	321.2	196.0	540.4	112603.4	86013.1	140118.8	281.5	215.2	350.3	86013.1	140118.8	112603.4	0.0	0.0	0.0
