Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	853.0	0.0	0	853.0	690.2	884.0	3389.5	3034.8	3769.8	329430.4	274114.1	346778.6	823.6	685.3	866.9	274114.1	346778.6	329430.4	0.0	0.0	0.0
0.0	1110	1110	0	707.0	0.0	50	707.0	579.2	756.8	2653.6	2307.5	3106.6	261323.8	208361.8	304685.8	653.3	520.9	761.7	208361.8	304685.8	261323.8	0.0	0.0	0.0
0.0	1110	1110	0	631.5	0.0	100	631.5	524.2	712.0	1612.0	1291.9	2010.8	182558.1	143377.9	227718.1	456.4	358.4	569.3	143377.9	227718.1	182558.1	0.0	0.0	0.0
0.0	1110	1110	0	637.5	0.0	150	637.5	539.0	712.8	1047.5	813.8	1403.4	137131.9	102081.3	174781.6	342.8	255.6	437.1	102081.3	174781.6	137131.9	0.0	0.0	0.0
0.0	1110	1110	0	645.5	0.0	200	645.5	546.2	742.8	847.8	610.5	1114.1	114598.2	86992.0	147699.7	286.5	217.5	369.2	86992.0	147699.7	114598.2	0.0	0.0	0.0
0.0	1110	1110	0	729.0	0.0	250	729.0	616.2	793.5	749.6	528.6	992.3	114593.7	87594.4	148621.6	286.5	219.2	371.6	87594.4	148621.6	114593.7	0.0	0.0	0.0
0.0	1110	1110	0	744.0	0.0	300	744.0	630.2	826.0	615.6	424.7	903.0	108992.7	84587.3	136763.2	273.1	212.1	342.1	84587.3	136763.2	108992.7	0.0	0.0	0.0
0.0	1110	1110	0	784.5	0.0	350	784.5	666.8	855.8	596.8	393.0	829.5	109724.0	85433.5	133813.4	274.3	213.6	334.6	85433.5	133813.4	109724.0	0.0	0.0	0.0
0.0	1110	1110	0	824.5	0.0	400	824.5	700.2	886.2	511.0	330.5	796.1	113518.0	86724.8	137462.4	283.8	216.8	343.7	86724.8	137462.4	113518.0	0.0	0.0	0.0
0.0	1110	1110	0	860.0	0.0	450	860.0	724.0	910.8	478.0	283.0	732.7	111517.8	83846.0	146935.7	279.3	210.1	367.3	83846.0	146935.7	111517.8	0.0	0.0	0.0
