# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 3000
# Kernel = <function exponential_kernel at 0x7f858d84eb60>; Scale Parameter = 119m ; Sps Parameters = [[0.00833    0.14       0.00285714 0.00053   ]
 [0.00833    0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.0	1110	1110	0	1082.0	0.0	0	1082.0	1078.0	1086.0	3491.1	3201.0	3795.7	425355.0	416996.8	434057.0	3543.2	3473.6	3615.7	416996.8	434057.0	425355.0	0.0	0.0	0.0
0.0	1110	1110	0	1060.0	0.0	50	1060.0	1053.0	1067.0	3363.5	3049.8	3675.7	383897.3	374181.7	393996.6	3197.9	3118.2	3282.0	374181.7	393996.6	383897.3	0.0	0.0	0.0
0.0	1110	1110	0	1019.0	0.0	100	1019.0	1001.0	1036.0	2857.4	2537.6	3208.8	403042.6	382940.4	427708.6	3357.7	3189.9	3562.8	382940.4	427708.6	403042.6	0.0	0.0	0.0
0.0	1110	1110	0	949.5	0.0	150	949.5	900.0	984.0	2239.1	1968.3	2586.5	404670.9	367201.3	450577.7	3370.9	3058.8	3753.3	367201.3	450577.7	404670.9	0.0	0.0	0.0
0.0	1110	1110	0	846.0	0.0	200	846.0	738.2	913.8	1687.3	1420.4	2024.8	328557.6	275589.3	384196.5	2736.9	2296.8	3201.4	275589.3	384196.5	328557.6	0.0	0.0	0.0
0.0	1110	1110	0	769.0	0.0	250	769.0	661.0	860.8	1277.9	1031.1	1566.2	258413.9	200873.9	316376.7	2154.3	1675.4	2635.4	200873.9	316376.7	258413.9	0.0	0.0	0.0
0.0	1110	1110	0	731.5	0.0	300	731.5	633.5	824.8	996.8	810.0	1323.4	213286.5	165262.1	267127.2	1776.7	1376.6	2225.4	165262.1	267127.2	213286.5	0.0	0.0	0.0
0.0	1110	1110	0	692.0	0.0	350	692.0	610.0	778.0	786.8	611.1	992.4	169154.1	130885.1	211301.1	1410.2	1090.3	1760.1	130885.1	211301.1	169154.1	0.0	0.0	0.0
0.0	1110	1110	0	700.5	0.0	400	700.5	613.2	780.0	668.7	521.7	899.6	155538.5	119588.8	198340.3	1296.7	997.4	1654.6	119588.8	198340.3	155538.5	0.0	0.0	0.0
0.0	1110	1110	0	729.5	0.0	450	729.5	649.2	827.8	566.5	436.9	725.4	148256.6	113671.2	189833.0	1235.0	946.9	1581.9	113671.2	189833.0	148256.6	0.0	0.0	0.0
0.0	1110	1110	0	756.5	0.0	500	756.5	682.0	844.8	513.5	356.4	662.2	140450.6	103106.6	175365.9	1170.9	859.0	1460.8	103106.6	175365.9	140450.6	0.0	0.0	0.0
0.0	1110	1110	0	769.0	0.0	550	769.0	705.2	850.0	452.0	351.6	600.5	129687.2	103258.6	163276.1	1080.3	860.5	1360.4	103258.6	163276.1	129687.2	0.0	0.0	0.0
0.0	1110	1110	0	801.5	0.0	600	801.5	709.5	877.5	405.0	300.7	521.5	129926.8	94224.9	161673.9	1082.3	785.6	1346.7	94224.9	161673.9	129926.8	0.0	0.0	0.0
0.0	1110	1110	0	842.0	0.0	650	842.0	766.0	909.0	361.3	278.3	480.1	132375.6	101319.1	157768.8	1104.5	844.0	1314.2	101319.1	157768.8	132375.6	0.0	0.0	0.0
0.0	1110	1110	0	862.5	0.0	700	862.5	789.2	929.5	324.4	245.5	435.2	127698.2	99691.0	156001.2	1063.7	830.4	1299.5	99691.0	156001.2	127698.2	0.0	0.0	0.0
0.0	1110	1110	0	896.5	0.0	750	896.5	840.0	958.8	302.7	225.0	406.9	123628.0	98300.7	146653.2	1031.0	819.2	1221.6	98300.7	146653.2	123628.0	0.0	0.0	0.0
0.0	1110	1110	0	924.0	0.0	800	924.0	838.8	982.0	308.3	244.7	413.1	125998.7	96011.0	152494.2	1049.6	800.1	1270.3	96011.0	152494.2	125998.7	0.0	0.0	0.0
0.0	1110	1110	0	935.5	0.0	850	935.5	868.2	1000.8	276.2	208.7	379.0	120629.5	95575.0	143501.5	1005.2	796.1	1195.4	95575.0	143501.5	120629.5	0.0	0.0	0.0
0.0	1110	1110	0	961.0	0.0	900	961.0	887.0	1015.5	278.2	202.0	377.8	121755.7	99042.6	143431.5	1015.7	825.0	1194.8	99042.6	143431.5	121755.7	0.0	0.0	0.0
0.0	1110	1110	0	971.0	0.0	950	971.0	912.2	1034.5	258.9	191.9	364.4	114154.1	94543.5	140376.5	951.4	787.5	1169.3	94543.5	140376.5	114154.1	0.0	0.0	0.0
0.0	1110	1110	0	1000.0	0.0	1000	1000.0	935.0	1052.8	265.4	193.8	343.6	119986.1	96569.5	146338.6	999.5	804.4	1219.0	96569.5	146338.6	119986.1	0.0	0.0	0.0
0.0	1110	1110	0	1017.5	0.0	1050	1017.5	944.0	1058.8	243.0	179.9	346.9	113912.4	86908.8	145667.3	950.0	724.0	1213.4	86908.8	145667.3	113912.4	0.0	0.0	0.0
0.0	1110	1110	0	1018.5	0.0	1100	1018.5	962.8	1068.2	231.4	164.3	319.3	115669.9	90893.0	137401.1	963.5	757.1	1144.6	90893.0	137401.1	115669.9	0.0	0.0	0.0
0.0	1110	1110	0	1031.0	0.0	1150	1031.0	980.0	1081.0	219.4	150.7	319.0	111927.6	87751.8	133135.2	932.4	731.0	1109.0	87751.8	133135.2	111927.6	0.0	0.0	0.0
0.0	1110	1110	0	1036.5	0.0	1200	1036.5	969.0	1088.0	212.9	151.9	287.7	103124.6	82437.4	132582.6	859.0	686.7	1104.5	82437.4	132582.6	103124.6	0.0	0.0	0.0
0.2	1110	888	222	870.0	218.0	0	1088.0	1084.0	1092.0	3844.9	3511.0	4266.4	458493.6	449806.3	466719.7	3819.3	3746.9	3887.8	333984.8	347846.7	340642.5	112547.4	123809.6	117433.1
0.2	1110	888	222	857.0	214.0	50	1070.5	1064.0	1076.0	3719.7	3292.8	4039.8	404105.9	395258.3	414089.2	3366.7	3292.5	3449.4	299879.0	316325.0	308328.6	91917.1	99949.1	95706.8
0.2	1110	888	222	824.0	206.0	100	1029.5	1016.0	1042.0	3057.6	2688.4	3515.1	414669.1	389956.4	441368.5	3454.2	3248.3	3676.6	307910.2	348449.8	326217.2	82034.0	93823.9	87611.4
