Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0	0	1079	1073	1085	3584.3	3357	3919.6	422756.7	414804.5	432218.2	6344.4	6222.1	6483.3
0	50	1061	1053	1068	3528	3228.9	3959.5	383610.8	375867.9	391086.5	5754.2	5638	5866.5
0	100	1020	1002	1034	3289.2	3005.1	3705	382261.2	360669.3	404237.5	5733.9	5411	6063.6
0	150	937	891	976.8	2817.8	2457.3	3281.3	393605	357346.5	436467.3	5904.1	5362	6547
0	200	803	722	860.8	2175.7	1890.5	2565.9	337637.2	286586.2	392113.6	5066.1	4300.3	5881.7
0	250	696	580.5	776.2	1554.7	1303.3	1884.4	253697	194787.2	318044.5	3810.6	2926.8	4771
0	300	606	505	698.8	1321.9	1057.6	1671.9	196286	147824.1	245983.8	2947.1	2218.4	3693.7
0	350	536.5	450.2	646.8	941.6	698.5	1184.8	147520.2	104440.3	199857.7	2212.8	1567.7	2997.9
0	400	553	478.5	635.8	794.1	640	1035.7	136392.3	104161.8	172873.5	2047.8	1565.7	2597.6
0	450	557	488	648	677.3	507.1	871.5	123699.5	92881.7	158753.4	1855.5	1394.4	2383.2
0	500	579.5	515.5	658.8	605.3	419.4	760.5	114842.3	86130.2	152743.1	1722.6	1298.6	2291.1
0	550	617.5	540.2	692.2	533.1	391.4	674.8	119557	90769.4	151540	1798.3	1362.3	2277.7
0	600	633	571.2	723.5	468	335.8	628.1	112977.8	90333.6	143461.9	1696.1	1357.6	2157.3
0	650	668	594	758.8	441.5	325.9	582.3	115190.1	89537.7	138279.3	1729.1	1343.7	2074.5
0	700	690	631.2	769.2	400.5	328.8	498.6	113066.1	93969.1	134268.2	1698.8	1413.7	2014
0	750	741	671.8	810.8	375.4	283.5	479.2	112499.5	90564	142442.1	1690.4	1358.5	2136.6
0	800	763	700.2	840	337.1	261.3	446.1	113219.6	89473.1	140025.3	1701.9	1345.6	2106.6
0	850	804.5	723.8	874.5	321.1	249.2	440	117526.6	91263	141543.3	1765.4	1371.2	2124.3
0	900	815	742.8	886	321.8	239.6	412.1	117507.5	93111.8	142997.5	1762.6	1396.7	2145.9
0	950	857.5	788.2	915.8	309.5	227.6	392.6	118902.3	94595.3	142800.4	1783.5	1418.9	2142
0	1000	878.5	805.2	939	292.1	222.3	394.8	120656.9	93986.5	144228.2	1811.2	1409.8	2168
0	1050	880.5	800	934.8	270.1	202.4	371.2	110602.1	89784.9	138007.5	1659	1349.8	2070.1
0	1100	899	823	970	282.8	201.7	362.4	113381.3	94739.1	140150.8	1700.7	1421.1	2102.3
0	1150	923.5	840.8	996.8	267.8	201	357.7	115370.7	92925.6	137040.2	1732.3	1397.5	2058.8
0	1200	953	893.2	1007.2	251.1	188.5	341	116395.2	91776.5	138956.1	1745.9	1376.6	2084.3
0.2	0	1084.5	1079	1089	3947.7	3581.8	4368.2	458110.1	449168.8	467652.5	6871.7	6737.5	7014.8
0.2	50	1071	1064	1076.8	3847.3	3464.2	4280.6	407024.9	399361.4	415963.8	6106.3	5990.4	6239.5
0.2	100	1035	1020	1046	3523.7	3108.8	3964.5	392470.3	377473.6	409646.3	5887.1	5662.5	6144.7
0.2	150	968.5	932.5	1000.8	3088.8	2738.3	3461.7	409747.8	376009.8	456711.8	6146.2	5640.1	6850.7
0.2	200	843	760.5	921	2427.6	2006.8	2929.1	363103.1	303485.5	428323.9	5446.5	4552.3	6424.9
0.2	250	722	597.2	810.8	1854.4	1520.2	2254.4	289288	225038.1	354953.6	4340.8	3375.6	5324.3
0.2	300	632.5	521	748.8	1353	1060.1	1654.3	214014.8	160134.7	268829.5	3210.2	2402.9	4032.6
0.2	350	569	483	685.8	1030.6	825.8	1356.5	165385.9	123178.2	211189.5	2480.8	1848.5	3170.8
0.2	400	568	470.5	666.2	851	644.6	1121	143425.9	100191.5	186646.6	2153.2	1505.4	2800.2
0.2	450	561	474	661.8	708.7	568.3	927.1	123739.8	92888.9	168501.6	1856.1	1393.3	2528.6
0.2	500	600	516.2	676.8	622.9	492.6	854.3	124512.5	96613.2	155339.5	1869.3	1453.4	2332.8
0.2	550	611	542	693.2	560	404.9	716	119776	90556.3	155102.8	1796.6	1359.5	2326.5
0.2	600	640.5	575.2	718	471.9	376	619.6	117743.7	90106.9	149558.9	1768.2	1352.9	2247.3
0.2	650	673	612.2	737.5	425.7	340.9	574.3	111116.8	90148	148312.4	1668.9	1356.1	2224.7
0.2	700	715.5	646.2	780	425.3	317.3	544.8	120813.8	98414.5	148506.2	1815.4	1479	2233.5
0.2	750	735	669	799	369.8	288.2	498.2	116366.6	99169.7	142693.2	1745.8	1490.7	2140.4
0.2	800	773	688.2	842	363.8	274.6	470	116798.8	92600.5	142193.6	1752	1391.3	2132.9
0.2	850	800.5	720	870.8	350.9	274	456.6	119934.1	99905.4	149254.9	1800.9	1498.6	2239.8
0.2	900	821.5	740.2	889	334.9	240.9	431.3	122067.4	97081	151174.2	1832	1458.5	2267.6
0.2	950	838.5	758.2	920.8	308.9	240.2	413.6	118738.1	94058.5	147887.2	1781.1	1410.9	2223.3
0.2	1000	888	800.5	942.8	315.7	228.2	412.4	121295.9	99009.6	148625.7	1819.4	1485.1	2229.4
0.2	1050	888	812	966	294.4	228.6	393.6	121756.3	94038.4	150953.6	1826.3	1410.6	2264.3
0.2	1100	923.5	860.5	988	280.6	221.6	392.2	121517.6	93422.4	146080.1	1822.8	1401.3	2191.2
0.2	1150	930	864	987.8	269.8	206.1	347.1	122094.1	99849.6	148165.4	1831.4	1500.9	2222.5
0.2	1200	949	880.5	1005.5	249.2	189.3	336.5	119329	93446.4	139449.3	1789.9	1401.7	2092.3
0.4	0	1091	1087.2	1095	4253.1	3891.2	4704.2	493907.9	482689.5	504249.8	7409.5	7240.3	7563.7
0.4	50	1080	1073	1085	4121	3730.8	4482.6	437337.2	426296.8	446476.6	6562	6394.5	6697.1
0.4	100	1044	1029	1054	3763.9	3333.1	4228.7	401425.8	385057	420939.2	6021.4	5779.9	6315.7
0.4	150	990	949.2	1011.8	3093.6	2669	3614.9	414079.9	380938.2	446177.2	6213.3	5714.1	6692.7
0.4	200	885	798.5	931	2564.9	2159.7	3029.7	389164.3	331162	448797	5841.1	4974.7	6737.4
0.4	250	748	637.5	847	1835.7	1513.5	2310.8	289821	234070.2	358216.2	4350	3515.2	5378.1
0.4	300	636.5	542	757	1411.3	1100.6	1834.2	218640	165068.8	288174.8	3283.1	2476	4322.6
0.4	350	596	501	690	1093.7	898.8	1390.7	179369.2	132775	229513.3	2693.9	1992.5	3444.8
0.4	400	573.5	495	661.8	881.9	680.2	1148.3	148829.7	107976.8	191313.4	2234.4	1620.4	2872.6
0.4	450	582	502.2	664.5	752	567.3	929.4	137271.2	105880.7	177372.6	2063.4	1589.8	2661.6
0.4	500	611.5	536	690.2	687.5	514.3	889.9	134301	102744.8	170716.3	2017.7	1544	2561.9
0.4	550	629	539.2	695	564.4	433.3	756.1	121557.2	92712.2	154993.8	1825.9	1392.6	2326.2
0.4	600	640	575	722.8	536.1	396.2	705.7	119603	94671	160641.8	1794	1423.6	2410.7
0.4	650	690.5	607.2	751.8	468.7	354.8	613.2	125258.9	96448.8	154534.5	1879.8	1450.5	2322.7
0.4	700	702.5	616	780.5	427	315.1	561.2	116409.3	95385.3	150301.6	1749.2	1431.8	2255.4
0.4	750	731	668.2	804.2	395	301.7	512.4	123243.3	100265.6	148946	1850.1	1507.6	2236.1
0.4	800	782	696.2	840	394.3	305	507.7	128850.8	106271.2	157422.7	1932.8	1594.1	2365.9
0.4	850	795	725	853.8	364.2	274.3	465.7	122882.5	97767.6	152572.5	1849.1	1466.5	2288.6
0.4	900	810	733.2	878.8	340.6	267.6	467.6	124087.2	97880	154315.6	1863.3	1470.7	2318.5
0.4	950	851	777.2	912.8	332.1	248	470.8	122462.1	95447	150184	1836.9	1431.8	2252.8
0.4	1000	868	802.5	941	329.3	248.4	439.3	127359.6	99171.5	152450.6	1913	1487.6	2288.7
0.4	1050	888.5	828.2	957.8	319	228.4	419.2	124166.3	100318.4	153260.1	1865.2	1507.8	2298.9
0.4	1100	906	841.2	976.5	312.2	224.9	426.1	124919.7	102651	154220.6	1873.8	1539.8	2313.3
0.4	1150	924.5	865.2	984	287.6	211.8	399.6	125155	102654.1	152638.9	1877.3	1539.8	2289.6
0.4	1200	944	870.5	1012.2	277.6	210	391.1	121404.6	98926.6	149345.5	1825.4	1483.9	2240.2
0.6	0	1094	1091	1098	4279	4018.6	4817.7	528311.8	518737.5	538988.5	7924.7	7781.1	8086.4
0.6	50	1084.5	1079	1090	4257.4	3884.8	4780.1	460159.2	450253.1	471195.6	6902.4	6753.8	7067.9
0.6	100	1054	1045	1063.8	3888.7	3471.3	4372.8	411590.1	394974.1	428314.7	6173.9	5924.6	6424.7
0.6	150	1008	987	1029	3317.9	2923.5	3789.7	426247.1	401412.1	455968.3	6393.7	6021.2	6841.4
0.6	200	922.5	854.8	969.8	2672.6	2289.3	3208.3	403181.1	353208.8	459173.3	6047.7	5298.4	6892.9
0.6	250	791	669.2	875	2128.5	1708.3	2579.9	325513.9	265270.8	394296.2	4882.7	3983	5917.5
0.6	300	696.5	577	800	1562.4	1285.6	1875.3	251775.3	186246	320139.8	3776.6	2798.3	4802.1
0.6	350	616	519	723	1216.4	989.4	1552.7	191380.8	144567.6	249760.7	2873.3	2171.6	3746.4
0.6	400	610.5	518	706	970.3	746.5	1262.7	175721	119527.4	219573.7	2637.1	1796.1	3295.9
0.6	450	598	510	667.2	812.6	626	1052.5	149406.3	110654.3	185696.2	2243.4	1664.3	2791.2
0.6	500	596	529.5	696.5	691.3	540.7	890.3	131749.7	103640.9	175250.4	1978	1557	2632.9
0.6	550	624.5	546.5	690.8	592.5	443.2	792.3	131158.9	98654.3	166400.3	1967.4	1484.8	2496
0.6	600	664.5	590.5	735	550.3	428	695.3	131853.4	104252.1	163303.2	1979.7	1564.9	2450.4
0.6	650	680	597.2	763	496.3	363.9	647.8	124550	99081	152432.7	1873.1	1493.1	2286.5
0.6	700	712.5	640.2	795.8	452.6	338.8	578.1	124929.8	99294.3	155674.3	1875.4	1489.4	2339
0.6	750	725.5	661.5	804.5	411.3	317	546.7	127073.6	98820.4	152799.4	1909.9	1487.4	2294
0.6	800	770	690.8	837	399.1	325.1	525.1	127410.5	103589.8	154413.1	1916.4	1556.6	2317.1
0.6	850	801	714.2	860	380.9	306.8	487.6	128130.7	106802.8	153094.9	1922.8	1604.4	2296.4
0.6	900	824	750.2	886.2	357	261.9	478.8	131534.2	106292.5	156019.3	1973	1594.4	2340.3
0.6	950	842	763.2	907	340.3	263.6	448.9	127442.7	101419.8	159053.9	1912.2	1521.3	2385.8
0.6	1000	860	781	931.8	312.1	250.7	410	125402.3	100705.5	150538.9	1881	1510.6	2258.1
0.6	1050	883.5	817.5	942	304.8	228.4	411.7	129036.2	102773.4	153760.2	1936.6	1543.9	2306.4
0.6	1100	906.5	847.5	973.8	303.9	225.1	403.6	131961.7	101255.9	152500.8	1980.8	1519.3	2287.5
0.6	1150	939.5	860.2	1004	295	225.2	390.8	132689.3	106524.5	158752.8	1995.4	1597.9	2383.5
0.6	1200	941.5	867.8	1013.8	289.2	214.2	363.9	124914	101829.3	150381.7	1873.7	1530.4	2255.7
0.8	0	1097	1093	1101	4480.8	4142.9	4926.9	562333	551944.4	577185	8435	8279.2	8657.8
0.8	50	1089	1085	1092.8	4333.1	3918.6	4767.5	484604.3	474954.4	494738.2	7269.1	7124.3	7421.1
0.8	100	1065	1055.2	1072	3937.5	3551.8	4396	421720	407978.9	437450	6325.8	6119.7	6561.7
0.8	150	1021	1001	1044	3441	3025.4	3970.7	431243.4	402408.4	467616.6	6468.7	6036.1	7014.2
0.8	200	937	874.2	979	2873.9	2460.4	3327.8	413977	371173.5	460660.2	6209.7	5567.6	6911.6
0.8	250	841.5	736.5	918	2199.9	1872.8	2814.4	357698.7	289836.3	421267.1	5365.5	4347.5	6320.5
0.8	300	725.5	616.5	812.5	1677.5	1337.5	2081.8	274407	198669.7	341887.3	4116.1	2983.5	5129.3
0.8	350	665	542.5	751.5	1318.3	1013.1	1692	216592.5	163979.9	279029.5	3248.9	2459.7	4187.9
0.8	400	617	531.2	721.2	1077.4	816.8	1404.3	181053.7	137522.2	234952.7	2717.6	2062.8	3524.3
0.8	450	617.5	525.2	706.2	861.4	662.4	1121.3	159478.5	117103.9	206479.7	2396	1760.3	3097.2
0.8	500	645	550	718.8	754.3	596.9	1003.1	150085.6	116556.8	195166.4	2254.3	1751.7	2927.5
0.8	550	629	556.5	742	629	479.5	823.6	141619.2	102333.2	186950.4	2124.3	1536.5	2809
0.8	600	663.5	580.2	736.8	600.7	466.3	767.4	138629.7	104510.2	174948.8	2082.2	1570.3	2626
0.8	650	687	615.5	765.5	491	393.1	632.9	131746.9	104209	164577.8	1976.2	1565.2	2468.7
0.8	700	722	646.8	789.5	488.5	375.7	648.5	135013	106236.8	163430.3	2028.4	1595.7	2457.2
0.8	750	739.5	675	813.8	456.4	345.5	596.9	134032.2	108871.9	164792	2013.4	1638.4	2473.6
0.8	800	751.5	684	825.8	406.2	307.3	535.6	129002.4	104046	153832.8	1937.1	1560.7	2313.3
0.8	850	805.5	750.2	856.8	401.1	308.2	512.8	134950.8	108436.4	161013	2024.3	1627.3	2415.2
0.8	900	820.5	749.5	891.8	390.2	306	507.3	135867.3	114459.5	168442.3	2038	1718.6	2526.8
0.8	950	850	782.2	912.8	350.1	263.8	508.6	134334.1	107795.3	166410.9	2017.9	1618	2499.8
0.8	1000	888	806.2	943.5	356.2	267	481.2	133974.7	108430.5	163831.9	2009.6	1626.5	2457.5
0.8	1050	888.5	825.2	957.8	328.3	252.3	463	132295.7	106408.1	164122.1	1986.8	1596.4	2464.3
0.8	1100	903	825	967.8	319	235.2	416.8	130183.6	101310.7	161373.5	1953.1	1521.9	2422.6
0.8	1150	938	877.2	989	310.7	232	416.2	135854.2	107212.3	158273.3	2037.8	1609.5	2374.1
0.8	1200	946	872.8	1002.8	318.3	219.7	395.9	133170	99543.8	159949.1	1997.5	1493.6	2402.4
1	0	1100	1097.2	1103	4529.3	4164.1	4952.3	596705.2	584386.6	606462.8	8950.6	8765.8	9096.9
1	50	1094	1089.2	1097	4348.4	4010.3	4861	509651.6	497058.7	521563.6	7644.8	7457.4	7823.5
1	100	1072	1064	1078	4051.9	3671.1	4539	432089.5	415887.5	449081.1	6482.3	6241.8	6736.2
1	150	1037	1020.2	1054	3542.6	3102.3	3986	427776.8	396956.6	457644.8	6416.7	5954.3	6864.7
1	200	972	908.5	1010.8	3054.3	2617.8	3534	424493	378490.6	478537.8	6367.4	5677.4	7178.1
1	250	865.5	786.5	933.8	2302.9	1954.6	2754.7	375542.1	311006.2	430497.3	5637.5	4666.6	6461.6
1	300	765.5	667.8	860.8	1849.7	1473.3	2254.8	295970.9	235385.8	364331.8	4442.2	3534.5	5466.3
1	350	676	567	779.2	1395.6	1040.5	1766.4	232694.1	162598.5	296108.8	3492.6	2439.3	4446.4
1	400	667.5	569.5	768.8	1122.3	908.8	1393.2	201350	158816	251622.4	3022.7	2385.4	3778.7
1	450	670	559.5	748	916.5	729.1	1218.4	178852.7	137826.4	224225	2686.1	2067.4	3367.5
1	500	658	575	757.5	797.2	638.2	1068.9	162050.4	123740.5	218700.9	2430.8	1861.5	3280.5
1	550	663	569	735.5	637.7	500.1	851.9	144115.5	117461.8	183204.7	2161.7	1762.3	2748.1
1	600	666.5	594.2	747.8	584.2	448.3	796.7	139862.4	112288.3	181096.3	2099.7	1689	2717.5
1	650	704.5	636	785	526.4	405.3	704.7	145585.2	107846.8	178162	2183.8	1622.5	2673.7
1	700	742	660.5	801.5	526.6	399.9	698.9	147957.4	113797.2	178761.7	2220.8	1711.5	2687.9
1	750	750.5	676.2	831.8	450.9	354.2	623	135507.8	110271.2	172495.3	2037.1	1658.4	2591
1	800	758	682.2	826.8	431.2	302.3	581.1	132118.3	104810.1	162612.4	1983.6	1575.5	2439.2
1	850	799	720.8	872.8	405.5	318.4	530.9	137629.5	110646.1	165376.4	2068.4	1660.9	2480.6
1	900	824.5	730.8	898	382.1	292.9	533.9	137529	107479.2	170126.5	2067.4	1613	2551.9
1	950	845	779	909	358.1	281	473	129867.9	105810.3	161475.9	1950	1589.7	2426.1
1	1000	871.5	799.2	930.5	345.5	261.8	460.9	135975.1	107688.6	165403.3	2042.1	1615.3	2488.5
1	1050	895	826.2	955.8	332.4	276.7	448.5	138393.5	113996.8	161285.4	2081.1	1710	2424.4
1	1100	917.5	849	973.8	325.3	238.8	417.4	135449.5	112204.2	168595.6	2039.8	1683.1	2530.7
1	1150	940	861.2	994	313	238.6	422.6	131450.8	105527.7	163295.1	1971.8	1582.9	2450.6
1	1200	954.5	886.5	1018.2	310.1	246.8	402	137137.6	110992.2	164677.3	2057.1	1664.9	2470.2
