Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	                     Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	552.0	551.0	0	0                             	1103.0	1100.0	1105.0	3782.5	3526.7	4175.0	591448.0	580761.2	602030.8	7925.4	7782.2	8067.2	209941.1	221771.9	215788.1	367473.9	382311.3	376148.6
0.5	1110	555	555	551.0	550.0	0	50                             	1101.0	1098.0	1103.0	3617.7	3364.8	4065.2	535744.1	526809.9	543141.8	7179.0	7059.3	7278.1	198405.0	208879.3	203545.1	325004.6	339534.6	331956.3
0.5	1110	555	555	548.0	547.0	0	100                             	1095.0	1091.2	1098.8	3474.0	3115.9	3840.3	449499.9	441016.3	458779.3	6023.3	5909.6	6147.6	178647.3	188974.0	183960.9	258624.3	272984.6	265636.3
0.5	1110	555	555	546.0	545.0	0	150                             	1090.0	1086.0	1095.0	3119.7	2805.3	3537.9	402857.0	392764.6	417084.6	5398.3	5263.0	5588.9	170347.8	184278.0	177390.9	219643.8	233671.3	226602.7
0.5	1110	555	555	545.0	544.5	0	200                             	1088.0	1082.0	1095.0	2788.3	2497.8	3166.6	387658.1	374136.0	403118.9	5194.6	5013.4	5401.8	170911.0	185839.9	177931.4	202551.9	220127.1	208961.7
0.5	1110	555	555	544.0	544.0	0	250                             	1088.0	1080.0	1094.8	2570.2	2284.8	2921.2	386669.3	366846.1	411348.9	5181.4	4915.7	5512.1	172490.3	195143.1	182872.3	194508.8	217120.2	206363.2
0.5	1110	555	555	541.0	541.0	0	300                             	1081.5	1065.2	1092.8	2341.1	2030.4	2757.1	390906.2	371713.4	411869.4	5238.1	4981.0	5519.1	178030.0	198322.1	187671.1	191023.8	215009.1	202505.8
0.5	1110	555	555	539.0	537.0	0	350                             	1076.0	1060.2	1089.0	2066.8	1788.0	2431.0	379319.7	353477.0	406247.1	5082.9	4736.6	5443.7	171672.9	198202.9	183589.1	181988.2	209942.1	195450.3
0.5	1110	555	555	534.0	534.0	0	400                             	1071.0	1034.0	1090.0	1836.1	1554.4	2158.6	369957.5	342166.8	398504.5	4957.4	4585.0	5343.8	166533.9	195508.5	181183.7	177099.6	204893.1	188398.1
0.5	1110	555	555	532.5	531.0	0	450                             	1063.5	1024.0	1087.0	1709.2	1429.3	2053.9	363595.9	339768.8	399457.0	4872.2	4552.9	5352.7	165383.4	196835.2	178415.8	171164.3	202460.3	185843.0
0.5	1110	555	555	525.0	524.0	0	500                             	1049.5	979.2	1080.0	1660.4	1356.2	1998.3	353774.7	325884.8	385915.9	4740.6	4366.9	5171.3	160998.1	191273.9	174066.2	163654.5	196085.8	179548.2
0.5	1110	555	555	518.0	517.0	0	550                             	1035.5	987.2	1075.8	1452.1	1192.3	1758.8	346193.5	306210.8	385899.8	4639.0	4103.2	5171.1	152084.9	190573.8	171901.1	154151.3	194907.8	174560.2
0.5	1110	555	555	515.0	513.0	0	600                             	1030.0	970.0	1069.5	1253.4	993.1	1537.6	326217.3	293358.4	364638.9	4372.3	3931.0	4886.2	144361.8	179406.9	162151.6	148998.9	184673.9	164358.9
0.5	1110	555	555	510.5	509.5	0	650                             	1020.5	964.0	1074.0	1109.4	927.3	1414.4	318274.3	278771.6	361543.2	4264.9	3735.5	4844.7	136996.9	179919.1	156721.9	139752.6	181775.8	159600.9
0.5	1110	555	555	509.5	508.5	0	700                             	1017.0	962.0	1065.0	1042.6	833.3	1397.7	308255.0	267616.2	345246.6	4130.6	3586.1	4626.3	133365.4	168261.1	151022.2	135750.9	174470.2	155433.2
0.5	1110	555	555	508.5	512.0	0	750                             	1020.5	928.2	1071.8	957.9	712.2	1212.6	289655.0	248936.1	333700.1	3881.4	3335.7	4471.6	123236.9	165645.2	143284.3	125588.5	167023.7	146666.3
0.5	1110	555	555	512.0	511.5	0	800                             	1025.0	947.8	1067.8	935.8	693.9	1232.1	286732.0	240437.3	325304.2	3842.2	3221.9	4364.5	119314.1	162895.0	141871.4	120812.6	163919.7	144467.8
0.5	1110	555	555	510.0	510.0	0	850                             	1018.5	954.5	1074.0	831.6	609.3	1114.4	279436.7	233700.4	312643.6	3744.5	3131.6	4189.4	116238.4	156671.3	138852.3	118485.5	157922.5	138512.4
0.5	1110	555	555	514.5	513.0	0	900                             	1028.0	950.0	1075.8	751.9	582.9	1038.1	277809.6	230147.9	316875.7	3722.6	3084.0	4246.1	114620.7	157914.9	137055.1	115880.7	158680.4	139653.4
0.5	1110	555	555	514.5	515.5	0	950                             	1029.5	973.2	1081.8	711.7	515.7	953.8	259284.2	215781.6	301129.2	3474.4	2894.7	4042.7	107913.8	150299.6	129402.7	109128.0	150376.4	129320.5
0.5	1110	555	555	528.0	527.0	0	1000                             	1056.0	999.0	1085.0	678.5	509.8	892.5	265193.1	231052.7	308891.2	3553.6	3096.1	4139.1	112474.4	152504.0	131548.8	116387.6	155154.1	132625.3
0.5	1110	555	555	516.0	517.0	0	1050                             	1033.0	975.8	1079.8	599.7	440.2	820.8	246960.9	211482.8	293065.9	3309.3	2833.9	3927.1	104391.7	144021.9	122644.4	104774.4	147905.5	124185.3
0.5	1110	555	555	528.0	528.0	0	1100                             	1056.5	996.2	1089.8	603.0	452.9	823.4	250826.7	220565.6	292080.7	3361.1	2955.6	3913.9	110358.7	143697.2	125103.9	109399.2	146506.0	126239.8
0.5	1110	555	555	524.0	525.0	0	1150                             	1048.0	979.2	1092.5	569.4	408.7	770.3	239160.0	201301.6	287275.2	3204.7	2697.4	3849.5	99926.3	141535.2	119851.2	101096.7	144262.0	120256.2
0.5	1110	555	555	549.0	548.0	50	0                             	1097.0	1094.0	1100.0	3816.0	3451.7	4155.3	508338.8	498437.2	517822.5	6811.7	6679.1	6938.8	189837.8	200232.7	194067.7	304941.5	319907.4	312422.7
0.5	1110	555	555	548.0	547.0	50	50                             	1095.0	1092.0	1098.0	3650.1	3350.7	4049.9	476853.3	467978.3	485908.8	6389.8	6270.9	6511.2	182925.2	193372.7	187526.2	281909.1	296878.5	288894.2
0.5	1110	555	555	545.0	545.0	50	100                             	1091.0	1086.0	1094.8	3470.1	3137.4	3796.3	431387.0	419607.4	440610.3	5780.6	5622.7	5904.2	175711.3	187175.2	182924.4	241365.8	255678.5	248704.5
0.5	1110	555	555	544.0	543.0	50	150                             	1087.0	1081.0	1092.0	3159.5	2810.0	3593.7	401387.6	391590.2	415479.8	5378.6	5247.3	5567.4	172000.8	185921.1	178339.7	217198.9	230867.5	223828.0
0.5	1110	555	555	541.0	542.0	50	200                             	1084.0	1076.0	1090.0	2810.2	2529.8	3160.6	393047.0	377652.9	410677.8	5266.8	5060.5	5503.1	172659.0	191870.9	182839.6	202227.8	221835.6	211784.0
0.5	1110	555	555	541.0	541.0	50	250                             	1082.0	1071.0	1089.0	2608.1	2303.4	2896.9	397561.3	378679.9	421248.2	5327.3	5074.3	5644.7	177049.1	201293.5	189199.2	198692.2	222834.5	208846.2
0.5	1110	555	555	540.0	539.0	50	300                             	1079.0	1061.0	1089.0	2335.0	2025.5	2673.2	391960.4	370320.5	419770.8	5252.3	4962.3	5624.9	176541.3	205011.1	188215.7	193688.7	218776.0	204210.9
0.5	1110	555	555	537.0	537.5	50	350                             	1076.0	1050.2	1087.0	2113.0	1860.9	2509.4	394063.1	363441.0	422009.0	5280.4	4870.1	5654.9	175686.8	205108.2	190704.4	186661.1	218055.7	200725.8
0.5	1110	555	555	532.0	532.0	50	400                             	1063.0	1031.0	1087.0	1895.8	1614.6	2307.2	381206.3	352507.0	412058.7	5108.2	4723.6	5521.6	171721.4	202329.7	185529.6	180660.1	208914.5	195237.3
0.5	1110	555	555	527.0	528.0	50	450                             	1053.0	1012.0	1080.8	1740.4	1421.2	2064.2	368911.7	333308.2	408639.7	4943.4	4466.3	5475.8	161936.3	202003.1	179672.7	170517.3	207548.6	188995.3
0.5	1110	555	555	518.0	521.0	50	500                             	1039.5	990.2	1077.0	1599.7	1295.0	2035.6	359426.3	324856.8	395394.9	4816.3	4353.1	5298.3	159543.5	196546.0	176849.0	164882.0	199822.0	183034.5
0.5	1110	555	555	518.5	517.0	50	550                             	1036.0	976.2	1075.0	1467.0	1172.7	1832.9	348302.0	313469.7	383894.1	4667.2	4200.5	5144.2	153463.9	189485.4	172203.8	158170.7	194310.4	175356.3
0.5	1110	555	555	519.0	517.0	50	600                             	1033.5	972.0	1075.0	1340.8	1047.5	1693.0	338049.6	285731.8	376498.6	4529.9	3828.8	5045.1	142507.6	184563.9	165236.1	146622.0	190615.4	170138.7
0.5	1110	555	555	508.5	509.0	50	650                             	1017.0	949.2	1067.8	1187.9	963.6	1518.7	312164.6	275835.1	355958.5	4183.0	3696.2	4769.8	136338.6	173833.9	153655.1	137318.8	179863.7	158386.5
0.5	1110	555	555	513.0	512.0	50	700                             	1028.0	950.0	1068.0	1100.0	867.6	1359.0	307958.1	267573.5	339882.3	4126.6	3588.5	4554.4	132794.6	168467.4	151078.3	135979.0	171243.3	155603.7
0.5	1110	555	555	504.0	506.0	50	750                             	1009.0	941.2	1057.8	951.1	734.1	1260.3	296799.2	248290.3	337154.1	3977.1	3327.1	4517.9	123133.6	166811.0	147702.9	123974.7	168696.4	149864.5
