# 2D Parameter Scan for Two-Radius Control (res = 75 m): Landscape Size 3000
# Nhosts = 1110; total host density = 123.33333333333333 hosts/km^-2# Kernel = <function exponential_kernel at 0x7f585799e660>; Scale Parameter = 119m # Sps Parameters = [[0.007      0.09       0.00285714 0.00053   ]
 [0.014      0.14       0.002      0.00053   ]]
# control_start = random
# ######################################################
Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	                     Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	551.0	554.0	0	0                             	1106.0	1104.0	1107.0	4502.0	4141.4	4879.5	678066.8	666631.6	687543.2	7967.2	7842.3	8099.2	210441.6	223094.1	216782.5	451659.2	469332.0	460231.9
0.5	1110	555	555	549.0	554.0	0	75                             	1102.0	1100.0	1104.0	4225.4	3802.2	4715.9	547069.0	536360.2	558254.0	6295.6	6177.0	6423.4	189738.3	199943.7	194973.8	344140.1	361148.2	351400.4
0.5	1110	555	555	547.0	551.0	0	150                             	1098.0	1095.0	1101.0	3560.2	3212.9	4010.7	421769.3	412064.6	431923.4	4642.0	4524.6	4766.6	175259.7	187557.3	180414.3	234110.5	249100.2	241455.6
0.5	1110	555	555	546.0	550.0	0	225                             	1097.0	1089.0	1101.0	2923.0	2597.2	3365.3	377178.4	364410.1	392998.3	4012.0	3871.6	4177.4	173144.8	190902.4	181679.9	188497.0	202932.3	196222.0
0.5	1110	555	555	544.0	546.0	0	300                             	1090.0	1079.0	1098.0	2521.3	2173.3	2997.8	367645.4	351676.9	393265.3	3857.4	3663.0	4104.3	176082.4	200423.1	186125.7	173019.4	192567.7	182473.1
0.5	1110	555	555	543.5	543.0	0	375                             	1087.0	1069.0	1098.0	2208.3	1864.5	2721.0	366380.8	342866.5	392995.8	3804.0	3573.3	4081.7	176111.4	204078.1	190220.7	165260.2	190555.4	176583.2
0.5	1110	555	555	538.0	538.5	0	450                             	1078.0	1043.8	1094.0	1912.3	1596.2	2355.6	362283.3	338669.9	391147.2	3750.5	3495.2	4046.3	172337.3	205030.8	188087.0	161693.6	189286.7	173880.8
0.5	1110	555	555	533.0	535.0	0	525                             	1067.0	1033.2	1089.0	1685.5	1322.3	2094.7	345896.9	313960.1	390964.0	3596.0	3269.1	4056.2	162974.7	202234.5	178772.8	150644.1	187738.7	166545.8
0.5	1110	555	555	523.0	523.0	0	600                             	1045.5	988.0	1082.0	1344.8	1111.2	1776.8	323863.0	296923.2	366234.1	3366.0	3081.3	3803.3	154290.2	190792.2	168616.0	142097.4	175603.3	157148.9
0.5	1110	555	555	526.5	525.5	0	675                             	1052.0	981.0	1082.8	1230.6	940.2	1602.2	314023.4	281352.8	344775.9	3260.4	2910.6	3566.6	147241.5	179436.3	163107.6	134371.5	165626.1	149720.6
0.5	1110	555	555	522.0	521.0	0	750                             	1042.0	982.2	1082.8	1031.9	820.9	1445.5	307357.4	267013.8	332895.9	3195.0	2780.4	3441.0	137194.9	172428.0	159403.9	131474.3	159697.4	148260.1
0.5	1110	555	555	515.5	518.0	0	825                             	1034.0	966.2	1081.5	935.8	691.6	1222.8	287991.5	242107.1	328896.4	2988.6	2501.6	3412.9	124763.7	171360.0	148726.0	116746.7	160861.9	139444.3
0.5	1110	555	555	522.0	523.0	0	900                             	1046.5	977.5	1087.0	863.4	641.1	1172.3	282428.9	244648.4	316993.5	2949.2	2550.0	3311.5	126649.9	162415.6	144014.1	118580.4	155786.9	137673.9
0.5	1110	555	555	522.0	521.0	0	975                             	1045.0	971.0	1085.0	748.4	574.7	1065.6	270717.8	232087.0	305841.2	2817.1	2436.2	3184.9	117902.2	157969.3	137481.2	113805.3	148673.3	132286.2
0.5	1110	555	555	546.0	552.0	75	0                             	1098.0	1094.2	1100.0	4170.0	3802.1	4675.2	499634.5	488560.2	510448.9	5652.2	5525.4	5787.3	185836.1	198110.2	191149.9	299191.7	316630.0	307769.4
0.5	1110	555	555	543.5	551.0	75	75                             	1094.0	1091.0	1097.0	3848.7	3501.7	4315.9	452696.6	443392.6	464602.3	5037.4	4919.4	5161.0	181274.7	193897.5	187697.5	258870.9	272447.6	265840.8
0.5	1110	555	555	541.0	548.0	75	150                             	1090.0	1084.0	1094.0	3383.5	3069.3	3798.7	407290.8	395353.4	417732.3	4381.2	4248.1	4488.7	181329.0	195385.6	187431.2	211311.0	225588.4	218704.4
0.5	1110	555	555	542.0	547.0	75	225                             	1089.0	1080.2	1094.0	2984.5	2602.0	3367.2	387259.5	370456.4	404673.9	4077.8	3917.4	4280.0	182235.0	201378.0	192026.5	186991.9	205958.1	194907.3
0.5	1110	555	555	541.0	545.0	75	300                             	1087.0	1076.0	1092.0	2572.9	2167.3	2952.7	382389.7	360234.0	402042.9	3975.3	3743.2	4200.3	180868.3	208440.4	196062.1	174313.9	198312.7	185638.6
0.5	1110	555	555	539.0	541.0	75	375                             	1081.0	1059.2	1092.0	2214.8	1880.1	2685.6	370160.1	346708.3	403762.8	3840.9	3611.1	4171.0	178310.5	209712.2	192356.8	166677.9	192947.1	179058.0
0.5	1110	555	555	535.0	535.0	75	450                             	1069.5	1046.0	1086.0	1910.7	1599.4	2341.1	364327.9	338152.8	398304.5	3764.1	3483.3	4120.6	174477.9	206531.8	190239.3	160407.7	190887.7	174087.6
0.5	1110	555	555	530.5	529.5	75	525                             	1059.0	1014.2	1085.8	1658.4	1362.8	2139.8	350057.4	309940.2	383273.3	3621.7	3217.0	3973.8	161851.5	200730.1	181171.9	148210.7	183365.4	167984.1
0.5	1110	555	555	523.0	522.5	75	600                             	1047.0	995.0	1074.8	1417.4	1167.9	1804.1	327971.6	295785.7	371207.0	3392.1	3059.8	3830.7	152383.8	192884.9	171379.2	142196.8	178572.5	158131.4
0.5	1110	555	555	519.0	519.0	75	675                             	1039.0	971.5	1071.8	1222.1	958.4	1644.3	318396.7	277960.1	358873.4	3310.7	2870.9	3707.5	143494.6	186241.9	164481.2	133438.4	171953.7	153263.4
0.5	1110	555	555	519.0	518.5	75	750                             	1037.5	968.2	1081.0	1137.8	868.0	1487.5	308477.0	265151.0	354962.7	3191.8	2753.8	3687.9	136357.9	184096.3	159342.7	129365.7	172335.0	149475.2
0.5	1110	555	555	516.5	518.5	75	825                             	1036.5	970.2	1076.8	927.5	688.1	1268.1	292084.1	255060.2	339449.0	3048.0	2648.3	3504.1	132196.5	174190.6	149377.6	123665.3	163255.0	141873.4
0.5	1110	555	555	515.0	518.0	75	900                             	1031.0	950.5	1083.0	789.4	628.9	1035.5	276394.5	228524.1	318543.9	2876.1	2397.1	3316.8	116439.4	167066.4	141621.4	112024.5	154196.6	134857.0
0.5	1110	555	555	523.0	523.5	75	975                             	1046.5	987.2	1086.0	797.2	621.4	1050.9	272734.3	237172.2	310614.5	2842.0	2473.5	3228.3	120528.9	159711.7	140005.6	116021.1	150088.4	133120.5
0.5	1110	555	555	537.0	545.0	150	0                             	1081.0	1074.0	1087.0	3509.5	3127.1	3962.8	404782.3	390904.4	421282.7	4311.9	4160.5	4490.9	183819.2	205023.9	192963.7	203407.3	220023.0	211351.0
0.5	1110	555	555	535.0	542.0	150	75                             	1077.0	1070.0	1084.0	3289.6	2907.7	3721.6	405721.9	384405.8	428582.8	4284.7	4076.6	4493.8	188191.3	213206.1	198950.1	195816.7	217097.9	206059.4
0.5	1110	555	555	534.5	540.0	150	150                             	1075.5	1061.2	1084.0	3049.9	2632.6	3519.4	394368.5	376282.3	419610.5	4131.2	3948.0	4377.7	188217.0	213537.9	199682.9	187524.9	206997.2	194989.4
0.5	1110	555	555	533.0	537.0	150	225                             	1070.0	1055.2	1081.0	2657.4	2280.9	3112.9	392325.5	374081.8	420652.3	4085.6	3880.4	4371.8	192116.8	217938.9	203927.5	180491.0	202770.6	190138.3
0.5	1110	555	555	530.0	534.0	150	300                             	1064.0	1042.2	1078.8	2353.8	2042.4	2817.8	384516.0	358162.6	424384.1	3977.1	3710.7	4371.7	185311.3	220271.1	199913.3	172124.1	203798.0	184011.8
0.5	1110	555	555	527.0	530.0	150	375                             	1058.5	1028.0	1078.0	2174.6	1873.5	2648.5	381471.6	347059.0	419159.2	3943.8	3604.3	4325.5	182208.9	218390.4	200086.9	165981.2	199991.6	181262.8
0.5	1110	555	555	524.5	527.5	150	450                             	1051.0	1005.2	1076.0	1919.2	1596.6	2384.3	373861.6	335439.3	410026.8	3862.6	3484.6	4236.2	173339.5	214184.6	194827.5	160363.1	195020.3	177955.8
0.5	1110	555	555	518.5	521.5	150	525                             	1040.0	983.2	1073.0	1721.6	1395.2	2096.4	350874.2	315027.0	388688.4	3639.3	3247.5	4008.5	162531.3	204685.1	180774.3	150882.3	185107.9	167924.3
0.5	1110	555	555	515.5	514.5	150	600                             	1031.0	963.0	1067.8	1422.1	1136.5	1823.2	341737.9	305336.3	379763.2	3545.9	3156.6	3932.9	158802.4	196730.4	174654.1	144774.6	182213.6	164896.2
0.5	1110	555	555	512.0	511.5	150	675                             	1025.5	959.0	1072.0	1311.4	1026.8	1656.2	321782.5	275949.5	359203.2	3343.3	2880.1	3715.4	142142.1	186313.3	166922.4	134916.0	173227.5	155519.7
0.5	1110	555	555	509.0	508.0	150	750                             	1016.0	949.0	1063.8	1123.0	850.3	1455.5	295688.0	249709.5	342538.0	3061.8	2597.2	3544.8	127690.1	176712.4	152932.4	121924.2	165322.6	142925.3
0.5	1110	555	555	512.5	511.0	150	825                             	1023.5	947.0	1070.8	1007.4	754.4	1318.1	302087.3	253140.1	336517.2	3146.5	2625.1	3511.1	131713.2	173301.9	155221.1	123190.7	163697.3	148102.7
0.5	1110	555	555	507.5	505.5	150	900                             	1014.5	955.0	1071.0	846.4	611.6	1182.4	286432.0	228018.2	334162.5	2979.3	2380.9	3468.0	115914.8	170273.9	148111.6	112272.8	162187.8	137002.5
0.5	1110	555	555	514.5	515.0	150	975                             	1031.0	942.0	1071.8	779.9	552.0	1075.2	268963.0	226506.1	314059.6	2814.9	2349.6	3257.4	115961.5	161517.2	136447.9	110480.0	151654.9	132612.5
0.5	1110	555	555	530.0	534.0	225	0                             	1063.5	1044.0	1077.0	2864.2	2461.7	3470.8	388358.7	359756.7	422661.8	4058.5	3754.1	4413.7	183379.4	216032.2	200719.3	175487.8	205176.5	188229.4
0.5	1110	555	555	528.0	531.0	225	75                             	1059.5	1036.2	1073.8	2734.7	2319.9	3354.3	392619.9	359818.9	427924.0	4070.7	3751.5	4463.8	183752.8	221693.0	200943.3	175164.2	207359.2	188881.4
0.5	1110	555	555	526.0	528.0	225	150                             	1054.0	1031.2	1071.8	2494.6	2160.9	2969.1	389066.7	362871.3	425745.6	4024.3	3771.5	4422.6	186488.3	219541.1	202629.3	175543.3	205620.5	187608.8
0.5	1110	555	555	519.5	522.0	225	225                             	1042.5	1002.0	1065.0	2295.4	1937.6	2760.9	377513.9	351114.9	420187.4	3930.1	3646.0	4342.1	181752.1	219457.1	198085.7	168375.4	201294.2	181092.9
0.5	1110	555	555	515.0	516.0	225	300                             	1031.0	993.0	1057.8	2057.7	1691.0	2570.4	375260.3	340895.5	410881.1	3869.4	3534.9	4264.2	175045.4	214322.9	194886.6	164225.1	197558.9	178072.4
0.5	1110	555	555	509.0	511.5	225	375                             	1021.0	977.2	1050.8	1907.7	1583.3	2311.3	370103.2	324864.6	414898.1	3819.9	3375.4	4285.3	169865.4	217889.8	191667.5	157729.4	199562.3	176804.8
