Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	 Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	 Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	537	551	0	0	1088	1084	1092	4152.3	3751.3	4622.8	508845.3	498378.9	517095.8	5088.5	4983.8	5171	205467.8	216120.8	211221.3	290301.1	304224	297792.9
0.5	1110	555	555	524	540	0	100	1064	1056	1072	3645.6	3280.9	4080.9	421102.3	410720.4	436290.4	4211	4107.2	4362.9	198493.2	215556.2	207404.6	207791	222312.8	214876
0.5	1110	555	555	510	517	0	200	1028	1003	1047	2745	2445.4	3201.2	432462.5	402873.9	478043.1	4324.6	4030	4780.4	209379.1	252694.3	228654.9	192556.4	223269	203816.4
0.5	1110	555	555	481	484	0	300	966	895.2	1008	2012.9	1646.3	2385.2	378276.8	337833.3	428504.5	3782.8	3378.3	4285	173587.1	224826.5	197159.7	160816.5	203935.4	181428.7
0.5	1110	555	555	434	436	0	400	871	759.5	954.8	1306.5	1011.8	1654	290281.5	229990.2	343572.9	2902.8	2299.9	3436.1	117225.8	178454.5	150190.4	111932.2	166231.5	140438.4
0.5	1110	555	555	415	417	0	500	832.5	741.5	905.8	927.4	693.4	1160.6	240760.4	182182	275530	2409.1	1825.5	2756.4	94083	139484	121459.7	88724	135025	116693.5
0.5	1110	555	555	426.5	428.5	0	600	855.5	750.2	941.5	738.5	513.8	968.4	201804	157162.3	260012.8	2021.1	1572.2	2600.1	78885	133310.5	102998.1	78048.5	127289.3	100350
0.5	1110	555	555	439	441.5	0	700	884	801.2	953	589.3	420.5	803.9	190738.6	150675.5	234769.2	1907.4	1507.6	2347.7	76866	118474.9	96624.4	74180.5	114610.3	93900
0.5	1110	555	555	467	465.5	0	800	932.5	856.2	996.8	479.7	371.3	664.1	183669	146526.9	218969.7	1836.7	1465.3	2189.7	74711.6	111062.5	93123.9	72205.9	109108	91215.5
0.5	1110	555	555	482.5	482.5	0	900	961	904.2	1031.8	440.2	344.5	565.9	182886.7	147566.2	216773	1828.9	1475.7	2172.8	74922.2	109987.5	92698.5	74062.8	107623.7	90643.3
0.5	1110	555	555	499	500	0	1000	998	928.2	1059	403.5	296.5	572	176576.7	145636.1	214548	1766.9	1459.3	2145.5	72696.5	109747	88664.7	72232.5	107438.6	87386.7
0.5	1110	555	555	501	502	0	1100	1002	927	1055.8	354.7	249.8	478.5	160150.4	129751.6	197397.1	1602.6	1297.5	1974	64945.5	99528	80022	64824.5	98515	79881.4
0.5	1110	555	555	524	541	100	0	1065	1057	1071.8	3656.8	3343.6	4114.4	421530.2	406073.2	437099.1	4215.9	4060.7	4371	197000.3	215644.9	205831.7	207505.2	223056.9	215854.5
0.5	1110	555	555	514	528.5	100	100	1043	1031	1054.8	3280	2950.6	3773	428236.2	405444.4	455366.1	4282.4	4054.4	4553.7	209095.9	237485.9	221669.2	196686.5	218880.1	208101.6
0.5	1110	555	555	495	502	100	200	997.5	961.5	1021	2569.3	2229.3	2896.9	430442.1	390968.6	481762.9	4304.4	3909.7	4821.1	206142.2	255886.8	225695	184636.5	226762.9	204845.5
0.5	1110	555	555	448.5	452	100	300	902	804.8	966.8	1787.7	1459.6	2265.6	351179.3	294545.4	404144.9	3511.8	2948.4	4041.4	151965.6	212617.8	180998.1	142348.9	192655.3	167372.4
0.5	1110	555	555	420	423.5	100	400	840.5	747.2	924.8	1216.7	968.5	1500	276465.5	221452.4	334783.5	2769.1	2215.7	3347.8	113033.9	172701.9	141847	108603.5	160558.5	135054.6
0.5	1110	555	555	421.5	425.5	100	500	849.5	731.2	923	916.4	705	1147.1	236740.4	177959.1	285829.6	2367.4	1779.6	2859.6	93052.9	145068.8	119991.1	87849.4	140327.5	117107.9
0.5	1110	555	555	424	425	100	600	851	757.5	924.8	713.2	555.3	954.1	205366.3	157260.6	248602.8	2053.7	1573.6	2487.8	79634.4	127911.8	104168.6	79049.1	121606.6	101299.8
0.5	1110	555	555	445.5	445.5	100	700	890	803.8	948.2	574.3	429.1	808.8	196372.6	157484.8	237666.4	1966.1	1576.1	2376.7	80347	122045.5	100182.2	77074	116250.4	95637.7
0.5	1110	555	555	456	461.5	100	800	920.5	834.2	991	499.3	369.2	647.2	179881.5	141805.5	227971.5	1799.3	1418.1	2279.7	71214.8	115172.5	91980.4	69650.9	113483.2	88003.5
0.5	1110	555	555	472.5	475	100	900	948	865.2	1013.8	437.8	324.7	638.7	175133.2	139950.6	219807.5	1751.3	1399.5	2198.9	71614.1	111539.7	89438.9	69264.6	108285.5	85401.9
0.5	1110	555	555	487.5	486	100	1000	974.5	894.5	1036.8	405.6	286.7	592.6	178980.4	132238.8	219146.4	1792.6	1326.5	2193.9	66104.4	109357.1	89613.3	65177.8	107979.1	88447.2
0.5	1110	555	555	502	502	100	1100	1005.5	947	1050	356.3	274.8	484.9	165162.7	133104.9	203072.4	1651.6	1331	2030.7	67346.3	103166.8	83341.5	65497.3	100952.8	82150.4
0.5	1110	555	555	511	521	200	0	1033	1008	1051	2839.5	2549.6	3306.9	430327.9	398944.9	469369.5	4303.3	3991.7	4693.7	209400.6	248128	229144.4	187073.2	220551.1	202089.4
0.5	1110	555	555	496	505	200	100	1002	968	1025	2661.4	2259.8	3032.4	434143.7	396497.4	478589.2	4341.4	3965	4785.9	208825.2	255597.9	230463.7	187929.4	224414.7	203509.6
0.5	1110	555	555	458	463.5	200	200	922.5	853.2	978.8	2156.6	1779.5	2580.9	387268.3	340666.9	438901.1	3874.9	3406.7	4389	175755.6	228037.7	204619.5	161473.4	211123.3	183131
0.5	1110	555	555	419	424	200	300	844.5	765.5	911	1549.9	1265.6	1917.8	309880.1	253379.5	375760.4	3098.8	2537.9	3757.6	132943.5	194806.7	158717.9	122531.9	182540	147249.5
0.5	1110	555	555	405	402	200	400	808	677	883	1215.8	923.8	1531.8	253687.2	180211.5	314913.8	2538.6	1802.1	3149.1	91419.1	160962.5	129339.5	88398.9	155377.5	123444.2
0.5	1110	555	555	394.5	399	200	500	798.5	714.5	875.8	930.4	721.9	1182	217559.7	171145.2	262107.5	2177	1712.4	2623	88519.8	134957.5	110095.1	83976.2	126510.6	106975.5
0.5	1110	555	555	410	411	200	600	821	738.8	895.8	710.4	544.2	905.9	192167.2	153972.1	227228.1	1921.7	1543.4	2273.2	78312.6	114500.9	97118.4	76340	112058.6	94080.8
0.5	1110	555	555	434	430	200	700	864	788	937.8	601.5	429.6	817.3	183415.5	138147.1	228920.3	1834.2	1382.3	2290	69621.7	116112.8	92866.2	69655.1	112030.9	90618.2
0.5	1110	555	555	448	452	200	800	899.5	813	980.8	491.2	348.9	651.6	175614.4	139176.6	214970.8	1756.1	1394.8	2152.9	69977.1	110182.9	88766.4	69381.5	105624.1	86066.9
0.5	1110	555	555	469	473	200	900	942	855	1012	454.1	339.2	611.1	172384	129728.5	217322.4	1723.8	1297.3	2173.2	65553.7	109048.8	87262.5	64629.2	105721.9	84923
0.5	1110	555	555	482	483	200	1000	964.5	892.2	1022.8	397.3	299.4	555.1	169872.3	138326.8	200543.5	1700.4	1388.3	2006.2	68573.3	101621.5	85431.6	68811.9	99465.4	83544.1
0.5	1110	555	555	497	498	200	1100	996	926.5	1048.8	355.4	242.3	499.4	158500.6	123997.7	190586.1	1585	1240	1905.9	63110	96482.6	79326.1	61403.2	93866	79048.4
0.5	1110	555	555	481	478.5	300	0	960	884	1004	2041.1	1718.9	2452.2	376148.8	333071.2	427412	3761.5	3331.7	4277.7	172642.2	224609.2	197952.6	157649.2	203892.2	178546.9
0.5	1110	555	555	457	462	300	100	918.5	847.5	984.8	1893.4	1541.5	2341.1	363034.8	304451.5	430494.2	3630.3	3046.5	4304.9	158684	225650.2	190628.4	144865.9	201806.4	175556.5
0.5	1110	555	555	421.5	425.5	300	200	850.5	735	927.8	1555	1272.6	2000.1	314274.8	260775.5	370725.4	3142.7	2607.8	3707.3	130704.6	193643.9	163845	124574.8	181379	151100.2
0.5	1110	555	555	386	393	300	300	779.5	683	886.8	1233	961.9	1562.6	253050.8	197177.5	317686.4	2532.6	1972.5	3180	100680.6	162902.1	130488.5	96131.2	153075.5	121923.7
0.5	1110	555	555	370.5	375	300	400	742.5	647.2	839.8	1009.2	753.7	1240.4	207211.4	153196	263114.9	2073.9	1534.3	2632	78185.7	135259.2	106182	74090.2	126971.5	100125.8
