Fraction_B	Radius	Median_Final_Size
0.0	0	1067
0.0	50	1048
0.0	100	1012
0.0	150	990
0.0	200	968
0.0	250	952
0.0	300	943
0.0	350	903
0.0	400	912
0.0	450	900
0.0	500	916
0.0	550	915
0.0	600	896
0.0	650	926
0.0	700	938
0.0	750	936
0.0	800	932
0.0	850	960
0.0	900	969
0.0	950	982
0.2	0	1087
0.2	50	1072
0.2	100	1045
0.2	150	1027
0.2	200	1018
0.2	250	997
0.2	300	990
0.2	350	986
0.2	400	953
0.2	450	966
0.2	500	948
0.2	550	956
0.2	600	966
0.2	650	938
0.2	700	978
0.2	750	979
0.2	800	956
0.2	850	990
0.2	900	994
0.2	950	972
0.4	0	1095
0.4	50	1087
0.4	100	1064
0.4	150	1050
0.4	200	1038
0.4	250	1026
0.4	300	1016
0.4	350	1008
0.4	400	996
0.4	450	995
0.4	500	989
0.4	550	974
0.4	600	992
0.4	650	1000
0.4	700	965
0.4	750	992
0.4	800	996
0.4	850	975
0.4	900	1022
0.4	950	1005
0.6000000000000001	0	1101
0.6000000000000001	50	1095
0.6000000000000001	100	1080
0.6000000000000001	150	1071
0.6000000000000001	200	1063
0.6000000000000001	250	1058
0.6000000000000001	300	1049
0.6000000000000001	350	1048
0.6000000000000001	400	1036
0.6000000000000001	450	1026
0.6000000000000001	500	1029
0.6000000000000001	550	1026
0.6000000000000001	600	1037
0.6000000000000001	650	1014
0.6000000000000001	700	1026
0.6000000000000001	750	1012
0.6000000000000001	800	1030
0.6000000000000001	850	1037
0.6000000000000001	900	1021
0.6000000000000001	950	1038
0.8	0	1105
0.8	50	1101
0.8	100	1093
0.8	150	1084
0.8	200	1079
0.8	250	1075
0.8	300	1068
0.8	350	1065
0.8	400	1064
0.8	450	1068
0.8	500	1065
0.8	550	1058
0.8	600	1061
0.8	650	1056
0.8	700	1054
0.8	750	1054
0.8	800	1058
0.8	850	1054
0.8	900	1058
0.8	950	1046
